Fish ID,Sample type,Lake,Sampling year,Sampling month,Sampling date,Temperature ©,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Mass (g),Dry mass (g),Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),Tag excretion (µg),Tag excretion rate (µg/ind/h),TDN (µg/L),N excretion (µg),N excretion rate (µg/ind/h),TDP (µg/L),P excretion (µg),P excretion rate (µg/ind/h),DOC (mg/L),C excretion (mg),C excretion (mg C/ind/h),C excretion (µg C/ind/h),Excreted C:N (molar),Excreted N:P (molar),Excreted C:P (molar),Notes
14L2221,F1,222,2014,8,13,17.0,NA,0.75,959,1028,29,80,75,4.908,1.227,2014-08-13,2016-03-25,2014-08-13,NA,10.18176103,1.225025586,2.534535696,NA,NA,NA,12.08,6.09,12.60,NA,NA,NA,NA,NA,NA,NA,
14L2222,F2,222,2014,8,13,17.0,NA,0.75,959,1029,30,72,70,3.144,0.786,2014-08-13,2016-03-25,2014-08-13,NA,12.45709033,3.500354887,7.000709774,1124.027586,603.9915903,1207.983181,17.61,10.24,20.48,NA,NA,NA,NA,NA,130.6383345,NA,
14L2223,F3,222,2014,8,13,17.0,NA,0.75,1000,1030,30,80,76,4.73,1.1825,2014-08-13,2016-03-25,2014-08-13,NA,17.43472791,8.477992468,16.95598494,NA,NA,NA,16.54,9.44,18.88,NA,NA,NA,NA,NA,NA,NA,
14L2224,F4,222,2014,8,13,17.0,NA,0.75,1000,1030,30,63,61,2.409,0.60225,2014-08-13,2016-03-25,2014-08-13,NA,15.93268435,6.9759489,13.9518978,NA,NA,NA,13.76,7.35,14.70,NA,NA,NA,NA,NA,NA,NA,
14L2225,F5,222,2014,8,13,17.0,NA,0.75,1000,1030,30,77,72,3.773,0.94325,2014-08-13,2016-03-25,2014-08-13,NA,15.07349144,6.116755997,12.23351199,550.6801746,173.981032,347.962064,9.04,3.82,7.63,NA,NA,NA,NA,NA,100.9647735,NA,
14L2226,F6,222,2014,8,13,17.0,NA,0.75,1001,1031,30,78,75,4.289,1.07225,2014-08-13,2016-03-25,2014-08-13,NA,14.10314774,5.146412292,10.29282458,NA,NA,NA,12.84,6.67,13.33,NA,NA,NA,NA,NA,NA,NA,
14L2227,F7,222,2014,8,13,17.0,NA,0.75,1001,1032,31,75,72,3.491,0.87275,2014-08-13,2016-03-25,2014-08-13,NA,15.26190825,6.305172805,12.20356027,545.325764,169.9652241,328.9649498,19.70,11.81,22.85,NA,NA,NA,NA,NA,31.87309822,NA,
14L2228,F8,222,2014,8,13,17.0,NA,0.75,1002,1032,30,62,60,2.254,0.5635,2014-08-13,2016-03-25,2014-08-13,NA,15.68209943,6.725363984,13.45072797,532.7301329,160.5185007,321.0370015,19.20,11.43,22.87,NA,NA,NA,NA,NA,31.08892261,NA,
14L2229,F9,222,2014,8,13,17.0,NA,0.75,1003,1033,30,75,72,3.691,0.92275,2014-08-13,2016-03-25,2014-08-13,NA,14.36845577,5.411720322,10.82344064,486.2320394,125.6449306,251.2898611,8.86,3.68,7.35,NA,NA,NA,NA,NA,75.70442852,NA,
14L22210,F10,222,2014,8,13,17.0,NA,0.75,1003,1034,31,66,64,2.226,0.5565,2014-08-13,2016-03-25,2014-08-13,NA,12.45850568,3.501770233,6.777619806,NA,NA,NA,17.04,9.82,19.00,NA,NA,NA,NA,NA,NA,NA,
14L22211,F11,222,2014,8,13,17.0,NA,0.75,1004,1034,30,72,69,3.794,0.9485,2014-08-13,2016-03-25,2014-08-13,NA,12.86109,3.904354559,7.808709117,NA,NA,NA,17.58,10.21,20.43,NA,NA,NA,NA,NA,NA,NA,
14L22212,F12,222,2014,8,13,17.0,NA,0.75,1004,1035,31,71,69,2.927,0.73175,2014-08-13,2016-03-25,2014-08-13,NA,13.32201569,4.365280245,8.448929506,NA,NA,NA,17.64,10.26,19.86,NA,NA,NA,NA,NA,NA,NA,
14L22213,F13,222,2014,8,13,17.0,NA,0.75,1004,1036,32,80,77,4.931,1.23275,2014-08-13,2016-03-25,2014-08-13,NA,13.50996865,4.553233202,8.537312254,NA,NA,NA,8.20,3.19,5.97,NA,NA,NA,NA,NA,NA,NA,
14L22214,F14,222,2014,8,13,17.0,NA,0.75,1005,1037,32,67,65,2.618,0.6545,2014-08-13,2016-03-25,2014-08-13,NA,14.5981282,5.641392755,10.57761142,NA,NA,NA,13.92,7.47,14.01,NA,NA,NA,NA,NA,NA,NA,
14L22215,F15,222,2014,8,13,17.0,NA,0.75,1005,1037,32,70,66,2.924,0.731,2014-08-13,2016-03-25,2014-08-13,NA,14.46673702,5.510001574,10.33125295,NA,NA,NA,12.45,6.37,11.94,NA,NA,NA,NA,NA,NA,NA,
14L22216,F16,222,2014,8,13,17.0,NA,0.75,1007,1038,31,71,68,3.352,0.838,2014-08-13,2016-03-25,2014-08-13,NA,13.39766808,4.440932629,8.595353476,NA,NA,NA,9.29,4.00,7.75,NA,NA,NA,NA,NA,NA,NA,
14L22217,F17,222,2014,8,13,17.0,NA,0.75,1008,1038,30,83,78,5.2,1.3,2014-08-13,2016-03-25,2014-08-13,NA,13.27454609,4.31781064,8.63562128,NA,NA,NA,13.36,7.05,14.10,NA,NA,NA,NA,NA,NA,NA,
14L22218,F18,222,2014,8,13,17.0,NA,0.75,1008,1039,31,78,72,3.628,0.907,2014-08-13,2016-03-25,2014-08-13,NA,16.5866252,7.629889756,14.76752856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14L22219,F19,222,2014,8,13,17.0,NA,0.75,1009,1039,30,78,76,4.161,1.04025,2014-08-13,2016-03-25,2014-08-13,NA,16.03144455,7.074709101,14.1494182,418.6651424,74.96975783,149.9395157,12.39,6.32,12.65,NA,NA,NA,NA,NA,26.25225026,NA,
14L22220,F20,222,2014,8,13,17.0,NA,0.75,1009,1040,31,94,90,8.508,2.127,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,NA,NA,14.67,8.03,15.55,NA,NA,NA,NA,NA,NA,NA,
14L222C1,C1,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,7.496427576,-1.46030787,NA,NA,NA,NA,4.01,0.04,NA,NA,NA,NA,NA,NA,NA,NA,
14L222C2,C2,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,8.709408008,-0.247327438,NA,NA,NA,NA,3.96,0.00,NA,NA,NA,NA,NA,NA,NA,NA,
14L222C3,C3,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,9.960951715,1.004216269,NA,NA,NA,NA,3.80,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,
14L222C4,C4,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,8.096811167,-0.859924279,NA,NA,NA,NA,3.91,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,
14L222C5,C5,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,10.52007876,1.563343318,NA,318.7054653,0,NA,4.10,0.11,NA,NA,NA,NA,NA,NA,NA,NA,
14L2391,F1,239,2014,8,15,18.0,NA,0.75,857,927,30,47,44,0.878,0.2195,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,11.32,5.06,10.12,NA,NA,NA,NA,NA,NA,NA,
14L2392,F2,239,2014,8,15,18.0,NA,0.75,858,928,30,51,48,1.29,0.3225,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,NA,NA,11.67,5.33,10.65,NA,NA,NA,NA,NA,NA,NA,
