Ingestion rate,Food C:P,Modelled P excretion rate,Measured P excretion,Lake,Year
.,.,.,0.00096,L222,2012
.,.,.,0.0008496,L222,2014
.,.,.,0.0032256,L222,2015
.,.,.,0.0049776,L239,2012
.,.,.,0.0032208,L239,2014
.,.,.,0.0041088,L239,2015
0.01,min,7.23333E-05,.,.,.
0.01,max,3.61667E-05,.,.,.
0.025,min,0.000180833,.,.,.
0.025,max,9.04167E-05,.,.,.
0.05,min,0.000361667,.,.,.
0.05,max,0.000180833,.,.,.
0.075,min,0.0005425,.,.,.
0.075,max,0.00027125,.,.,.
0.1,min,0.000723333,.,.,.
0.1,max,0.000361667,.,.,.
0.125,min,0.000904167,.,.,.
0.125,max,0.000452083,.,.,.
