ID,Site.name,Species.code,Sampling.method,Incub.Container,Vol..pre-filtered.water,Incub..Start.time,Incub..End.time,Time.elapsed,Wet.mass,Dry.mass,Comments,SRP,P.excretion,P.excretion.rate,NH4,N.excretion,N.excretion.rate,Amhistorical.DOC,AmDOC,DOC,C.excretion,C.excretion.rate,RamanArea,A254,SUVA254,SUVA.excretion,SUVA.excretion.rate,A280,A350,A440,S275to295,S350to400,SR,SR.excretion.rate,SR.excretion,BA,BA.excretion,BA.excretion.rate,FI,FI.excretion,FI.excretion.rate,HIX,HIX.ohno,HIX.excretion,HIX.excretion.rate,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,C1,C1.excretion,C1.excretion.rate,C2,C2.excretion,C2.excretion.rate,C3,C3.excretion,C3.excretion.rate,C4,C4.excretion,C4.excretion.rate,C5,C5.excretion,C5.excretion.rate,C6,C7,C7.excretion,C7.excretion.rate,AmRamanArea,AmA254,AmSUVA254,AmA280,AmA350,AmA440,AmS275to295,AmS350to400,AmSR,AmBA,AmFI,AmHIX,AmHIX.ohno,AmPeakA,AmPeakB,AmPeakC,AmPeakD,AmPeakE,AmPeakM,AmPeakN,AmPeakP,AmPeakT,AmC1,AmC2,AmC3,AmC4,AmC5,AmC6,AmC7
101,L239,YP,TN,1L WP,0.2,9.4,10.12,32,1.53,0.3825,dead after experiment,51.11644791,9.768620786,18.31616397,252.1642482,49.33954333,92.51164374,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
102,L239,YP,TN,1L WP,0.3,9.42,10.19,37,4.26,1.065,,54.95631457,15.80489118,25.62955326,295.7907918,87.09727807,141.2388293,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
103,L239,YP,TN,1L WP,0.3,9.44,10.21,37,4.06,1.015,,33.91384526,9.492150387,15.3926763,314.4878819,92.7064051,150.334711,7.55,7.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
104,L239,YP,TN,1L WP,0.3,9.27,9.57,30,0.75,0.1875,did not look good after being weighted,9.953077296,2.303919997,4.607839994,49.61243876,13.24377216,26.48754431,7.55,7.156,4.878,-0.0552,-0.1104,136.0420169,10.65729061,2.184766424,0.038633519,0.077267038,7.310609493,2.017814539,0.374792419,0.020571852,0.01916834,1.073220301,-0.008679703,-0.017359405,0.531817434,0.002635692,0.005271385,1.343936592,0.002436938,0.004873877,5.296313397,0.841176902,0.001676693,0.003353386,0.67037318,0.142185885,0.378772079,0.148126043,0.032555696,0.371930362,0.206607431,NA,0.187999785,0.268286496,-0.00025168,-0.00050336,0.386145241,-0.001673031,-0.003346062,0.193470632,0.001096699,0.002193399,0.052759133,-0.000291655,-0.00058331,0.078891384,-0.000644762,-0.001289525,0,0.172736053,0.000993041,0.001986081,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
105,L239,YP,TN,1L WP,0.7,9.3,10,30,16.35,4.0875,,21.01189328,13.11698452,26.23396903,124.4007992,83.25398732,166.5079746,7.55,7.156,5.291,0.1603,0.3206,139.7355471,11.00818375,2.080548809,0.017192547,0.034385095,7.628837286,2.173596341,0.51443696,0.020136254,0.017987017,1.119488235,0.012134914,0.024269829,0.509643481,-0.009371818,-0.018743637,1.311113986,-0.017289635,-0.03457927,4.043977798,0.801743774,-0.023690905,-0.047381811,0.675347181,0.343654046,0.398098715,0.14642579,0.034009689,0.41713648,0.227246161,NA,0.223161344,0.269134361,6.25305E-06,1.25061E-05,0.393889454,0.00151721,0.00303442,0.196056859,0.004369325,0.008738649,0.047480625,-0.004375485,-0.008750969,0.075780035,-0.003682391,-0.007364781,0,0.22488987,0.038824767,0.077649533,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
106,L239,CTL1,TN,1L WP,0.3,9.35,10.05,30,NA,NA,,2.119749307,-0.0460784,-0.0921568,10.1408041,1.402281758,2.804563516,7.55,7.156,5.021,-0.0123,-0.0246,136.1236315,10.41082696,2.073456874,0.005240654,0.010481308,7.078556323,1.91613398,0.383658418,0.020878083,0.018461864,1.130876255,0.008617084,0.017234167,0.526917068,0.001165583,0.002331165,1.337996943,0.000655044,0.001310087,4.572156608,0.820536272,-0.004515496,-0.009030992,0.664203772,0.24891932,0.383586277,0.146438525,0.035642161,0.382822895,0.20972734,NA,0.191597926,0.265925578,-0.000959955,-0.00191991,0.389969267,-0.000525823,-0.001051646,0.189693465,-3.64507E-05,-7.29013E-05,0.053160424,-0.000171268,-0.000342536,0.079835624,-0.000361491,-0.000722981,0,0.18879861,0.005811808,0.011623616,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
107,L239,CTL2,TN,1L WP,0.7,9.38,10.15,37,NA,NA,,2.42693864,0.107516267,0.174350702,0.792259048,-3.271990768,-5.305930975,7.55,7.156,5.103,0.0287,0.046540541,136.0420169,10.40256338,2.03851918,-0.012228193,-0.019829502,7.129005086,1.994141553,0.44374845,0.020637962,0.019226201,1.073429031,-0.020106528,-0.032605181,0.519146518,-0.002719693,-0.004410312,1.333629985,-0.001528435,-0.002478544,5.695214102,0.850639579,0.010536157,0.017085661,0.670832903,0.152018196,0.383056825,0.150713551,0.033811579,0.380057609,0.190822589,NA,0.149850272,0.272325279,0.002239896,0.003632263,0.393474754,0.001226921,0.001989601,0.189936469,8.50515E-05,0.000137921,0.05430221,0.000399625,0.00064804,0.082245561,0.000843478,0.001367802,0,0.150053225,-0.013560885,-0.021990624,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
108,L239,YP,SN,1L WP,0.3,10.43,11.13,30,3.17,0.7925,,17.93999995,4.699996793,9.399993587,214.770068,62.79106093,125.5821219,7.55,7.156,4.889,-0.0519,-0.1038,136.213139,11.02770139,2.255614929,0.059888071,0.119776141,7.590909345,1.970108284,0.377554996,0.020620883,0.02015356,1.023188118,-0.023689357,-0.047378715,0.54410316,0.00632141,0.01264282,1.300004157,-0.010742792,-0.021485584,4.439483497,0.816159016,-0.005828673,-0.011657346,0.679334093,0.233803531,0.399396442,0.147285947,0.040278039,0.398491358,0.252259409,NA,0.226165033,0.27463404,0.001652583,0.003305167,0.411509099,0.005936126,0.011872253,0.186133423,-0.001104463,-0.002208926,0.061547405,0.002344827,0.004689653,0.085185181,0.001243377,0.002486753,0,0.215385676,0.013787927,0.027575855,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
109,L239,YP,SN,1L WP,0.3,10.44,11.15,31,3.11,0.7775,,41.28638925,11.70391358,22.65273597,298.9069735,88.03213257,170.3847727,7.55,7.156,5.141,0.0237,0.045870968,136.7460451,10.65325835,2.072215202,0.004868153,0.009422231,7.319273494,2.01579789,0.412120116,0.019709341,0.018895363,1.043078194,-0.017722335,-0.034301293,0.557338392,0.01029198,0.019919961,1.365132283,0.008795646,0.01702383,4.878820512,0.829897851,-0.001707022,-0.003303914,0.686631104,0.22681587,0.42500618,0.14101744,0.031900784,0.457656259,0.244762012,NA,0.225464208,0.264089055,-0.001510912,-0.002924346,0.467805516,0.022825052,0.044177519,0.179056615,-0.003227505,-0.006246785,0.046440777,-0.002187162,-0.004233217,0.068559087,-0.003744452,-0.007247326,0,0.208490306,0.011719317,0.022682548,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
110,L239,YP,SN,1L WP,0.5,10.46,11.16,30,7,1.75,,12.25699729,4.99182666,9.983653319,311.3717002,152.9525843,305.9051686,7.55,7.156,5.117,0.0275,0.055,136.1236315,10.63117651,2.077619017,0.010815495,0.02163099,7.266973991,1.889513007,0.345318883,0.021122754,0.01830011,1.154241882,0.026044619,0.052089239,0.521368901,-0.000831446,-0.001662891,1.273199152,-0.031307156,-0.062614312,4.921264938,0.831117167,-0.002235379,-0.004470758,0.67838205,0.194344898,0.383554838,0.150823197,0.03466709,0.382287168,0.20908488,NA,0.198530703,0.271748136,0.001311354,0.002622708,0.388487682,-0.001617165,-0.003234329,0.195830162,0.003007597,0.006015195,0.053919903,9.42928E-05,0.000188586,0.083331976,0.001145692,0.002291383,0,0.188115001,0.009344542,0.018689084,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
111,L239,YP,SN,1L WP,0.5,10.47,11.17,30,5.65,1.4125,,19.78313595,8.754895988,17.50979198,273.97752,134.2554942,268.5109884,7.55,7.156,4.895,-0.0835,-0.167,137.2924599,10.85659901,2.21789561,0.080953791,0.161907583,7.503561524,2.037688682,0.406667636,0.019992237,0.019117376,1.045762625,-0.028195009,-0.056390017,0.512170011,-0.005430891,-0.010861781,1.332021088,-0.001896188,-0.003792376,4.94862075,0.831893805,-0.00184706,-0.00369412,0.660198949,0.183239671,0.381416421,0.143863799,0.032732349,0.37005762,0.222793443,NA,0.206827122,0.26286567,-0.003129879,-0.006259759,0.375542653,-0.008089679,-0.016179357,0.194082782,0.002133907,0.004267815,0.04989373,-0.001918794,-0.003837587,0.082744644,0.000852026,0.001704051,0,0.192824764,0.011699423,0.023398847,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
112,L239,YP,SN,1L WP,0.6,10.49,11.19,30,8.63,2.1575,,13.02497062,6.450975991,12.90195198,250.0867938,146.7721573,293.5443146,7.55,7.156,4.986,-0.0456,-0.0912,136.213139,11.05969257,2.218149333,0.097296784,0.194593567,7.655371099,2.165099356,0.521071835,0.020349509,0.016998054,1.197166977,0.0570086,0.114017201,0.516440932,-0.003954516,-0.007909032,1.31695903,-0.01131266,-0.02262532,4.755820773,0.826262832,-0.005595056,-0.011190112,0.693956239,0.202243642,0.391658566,0.148672122,0.0363628,0.386661716,0.240884109,NA,0.22307929,0.275884613,0.004055511,0.008111022,0.398941947,0.004331962,0.008663923,0.201586366,0.007062839,0.014125678,0.053030205,-0.000420667,-0.000841334,0.083846509,0.00168355,0.0033671,0,0.204590496,0.021098747,0.042197494,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
113,L239,YP,SN,1L WP,0.6,10.51,"11,21",30,9.66,2.415,,9.185103964,4.147055994,8.294111988,494.1876923,293.2326965,586.4653929,7.55,7.156,5.235,0.1038,0.2076,137.6690032,10.69257662,2.042517024,-0.008082602,-0.016165203,7.329875077,1.925391368,0.371818075,0.019168494,0.02007982,0.954614832,-0.088522687,-0.177045374,0.545448262,0.013449881,0.026899763,1.335237905,-0.000345336,-0.000690671,4.365305463,0.813617322,-0.013182362,-0.026364724,0.681468963,0.253925512,0.395730527,0.155028792,0.041961493,0.399417637,0.231792436,NA,0.221218021,0.281377096,0.007351001,0.014702001,0.404931815,0.007925882,0.015851765,0.180177688,-0.005782367,-0.011564735,0.066296462,0.007539087,0.015078174,0.090744648,0.005822433,0.011644866,0,0.214215333,0.026873649,0.053747298,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
