Fish ID,Sample type,Lake,Sampling year,Sampling month,Sampling date,Temperature ©,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Mass (g),Dry mass (g),Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),TDN (µg/L),N excretion (µg),N excretion rate (µg/ind/h),TDP (µg/L),P excretion (µg),P excretion rate (µg/ind/h),DOC (mg C/L)
L2221,F1,222,2014,8,13,17.0,NA,0.75,959,1028,29,80,75,4.908,1.227,2014-08-13,2016-03-25,2014-08-13,NA,10.18176103,NA,NA,NA,12.08,6.09,12.60,NA
L2222,F2,222,2014,8,13,17.0,NA,0.75,959,1029,30,72,70,3.144,0.786,2014-08-13,2016-03-25,2014-08-13,NA,12.45709033,1124.027586,603.9915903,1207.983181,17.61,10.24,20.48,NA
L2223,F3,222,2014,8,13,17.0,NA,0.75,1000,1030,30,80,76,4.73,1.1825,2014-08-13,2016-03-25,2014-08-13,NA,17.43472791,NA,NA,NA,16.54,9.44,18.88,NA
L2224,F4,222,2014,8,13,17.0,NA,0.75,1000,1030,30,63,61,2.409,0.60225,2014-08-13,2016-03-25,2014-08-13,NA,15.93268435,NA,NA,NA,13.76,7.35,14.70,NA
L2225,F5,222,2014,8,13,17.0,NA,0.75,1000,1030,30,77,72,3.773,0.94325,2014-08-13,2016-03-25,2014-08-13,NA,15.07349144,550.6801746,173.981032,347.962064,9.04,3.82,7.63,NA
L2226,F6,222,2014,8,13,17.0,NA,0.75,1001,1031,30,78,75,4.289,1.07225,2014-08-13,2016-03-25,2014-08-13,NA,14.10314774,NA,NA,NA,12.84,6.67,13.33,NA
L2227,F7,222,2014,8,13,17.0,NA,0.75,1001,1032,31,75,72,3.491,0.87275,2014-08-13,2016-03-25,2014-08-13,NA,15.26190825,545.325764,169.9652241,328.9649498,19.70,11.81,22.85,NA
L2228,F8,222,2014,8,13,17.0,NA,0.75,1002,1032,30,62,60,2.254,0.5635,2014-08-13,2016-03-25,2014-08-13,NA,15.68209943,532.7301329,160.5185007,321.0370015,19.20,11.43,22.87,NA
L2229,F9,222,2014,8,13,17.0,NA,0.75,1003,1033,30,75,72,3.691,0.92275,2014-08-13,2016-03-25,2014-08-13,NA,14.36845577,486.2320394,125.6449306,251.2898611,8.86,3.68,7.35,NA
L22210,F10,222,2014,8,13,17.0,NA,0.75,1003,1034,31,66,64,2.226,0.5565,2014-08-13,2016-03-25,2014-08-13,NA,12.45850568,NA,NA,NA,17.04,9.82,19.00,NA
L22211,F11,222,2014,8,13,17.0,NA,0.75,1004,1034,30,72,69,3.794,0.9485,2014-08-13,2016-03-25,2014-08-13,NA,12.86109,NA,NA,NA,17.58,10.21,20.43,NA
L22212,F12,222,2014,8,13,17.0,NA,0.75,1004,1035,31,71,69,2.927,0.73175,2014-08-13,2016-03-25,2014-08-13,NA,13.32201569,NA,NA,NA,17.64,10.26,19.86,NA
L22213,F13,222,2014,8,13,17.0,NA,0.75,1004,1036,32,80,77,4.931,1.23275,2014-08-13,2016-03-25,2014-08-13,NA,13.50996865,NA,NA,NA,8.20,3.19,5.97,NA
L22214,F14,222,2014,8,13,17.0,NA,0.75,1005,1037,32,67,65,2.618,0.6545,2014-08-13,2016-03-25,2014-08-13,NA,14.5981282,NA,NA,NA,13.92,7.47,14.01,NA
L22215,F15,222,2014,8,13,17.0,NA,0.75,1005,1037,32,70,66,2.924,0.731,2014-08-13,2016-03-25,2014-08-13,NA,14.46673702,NA,NA,NA,12.45,6.37,11.94,NA
L22216,F16,222,2014,8,13,17.0,NA,0.75,1007,1038,31,71,68,3.352,0.838,2014-08-13,2016-03-25,2014-08-13,NA,13.39766808,NA,NA,NA,9.29,4.00,7.75,NA
L22217,F17,222,2014,8,13,17.0,NA,0.75,1008,1038,30,83,78,5.2,1.3,2014-08-13,2016-03-25,2014-08-13,NA,13.27454609,NA,NA,NA,13.36,7.05,14.10,NA
L22218,F18,222,2014,8,13,17.0,NA,0.75,1008,1039,31,78,72,3.628,0.907,2014-08-13,2016-03-25,2014-08-13,NA,16.5866252,NA,NA,NA,NA,NA,NA,NA
L22219,F19,222,2014,8,13,17.0,NA,0.75,1009,1039,30,78,76,4.161,1.04025,2014-08-13,2016-03-25,2014-08-13,NA,16.03144455,418.6651424,74.96975783,149.9395157,12.39,6.32,12.65,NA
L22220,F20,222,2014,8,13,17.0,NA,0.75,1009,1040,31,94,90,8.508,2.127,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,14.67,8.03,15.55,NA
L222C1,C1,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,4.01,0.04,NA,NA
L222C2,C2,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.96,0.00,NA,NA
L222C3,C3,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.80,-0.12,NA,NA
L222C4,C4,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.91,-0.03,NA,NA
L222C5,C5,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,318.7054653,0,NA,4.10,0.11,NA,NA
L2391,F1,239,2014,8,15,18.0,NA,0.75,857,927,30,47,44,0.878,0.2195,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,11.32,5.06,10.12,NA
L2392,F2,239,2014,8,15,18.0,NA,0.75,858,928,30,51,48,1.29,0.3225,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,11.67,5.33,10.65,NA
L2393,F3,239,2014,8,15,18.0,NA,0.75,858,928,30,59,54,1.623,0.40575,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,19.75,11.38,22.77,NA
