"Plot Title: 221 ELA 2014"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9746955, SEN S/N: 9746955)","Coupler Attached (LGR S/N: 9746955)","Host Connected (LGR S/N: 9746955)","End Of File (LGR S/N: 9746955)"
1,05/31/14 09:00:00  AM,23.677,,,
2,05/31/14 09:30:00  AM,23.484,,,
3,05/31/14 10:00:00  AM,23.484,,,
4,05/31/14 10:30:00  AM,23.484,,,
5,05/31/14 11:00:00  AM,23.869,,,
6,05/31/14 11:30:00  AM,23.966,,,
7,05/31/14 12:00:00  PM,25.319,,,
8,05/31/14 12:30:00  PM,29.252,,,
9,05/31/14 01:00:00  PM,31.064,,,
10,05/31/14 01:30:00  PM,27.468,,,
11,05/31/14 02:00:00  PM,23.100,,,
12,05/31/14 02:30:00  PM,23.484,,,
13,05/31/14 03:00:00  PM,23.388,,,
14,05/31/14 03:30:00  PM,23.581,,,
15,05/31/14 04:00:00  PM,23.773,,,
16,05/31/14 04:30:00  PM,23.677,,,
17,05/31/14 05:00:00  PM,23.677,,,
18,05/31/14 05:30:00  PM,23.677,,,
19,05/31/14 06:00:00  PM,23.677,,,
20,05/31/14 06:30:00  PM,23.677,,,
21,05/31/14 07:00:00  PM,23.677,,,
22,05/31/14 07:30:00  PM,23.484,,,
23,05/31/14 08:00:00  PM,23.388,,,
24,05/31/14 08:30:00  PM,23.292,,,
25,05/31/14 09:00:00  PM,23.292,,,
26,05/31/14 09:30:00  PM,23.196,,,
27,05/31/14 10:00:00  PM,23.100,,,
28,05/31/14 10:30:00  PM,23.196,,,
29,05/31/14 11:00:00  PM,23.196,,,
30,05/31/14 11:30:00  PM,23.100,,,
31,06/01/14 12:00:00  AM,23.004,,,
32,06/01/14 12:30:00  AM,22.908,,,
33,06/01/14 01:00:00  AM,22.812,,,
34,06/01/14 01:30:00  AM,22.717,,,
35,06/01/14 02:00:00  AM,22.621,,,
36,06/01/14 02:30:00  AM,22.621,,,
37,06/01/14 03:00:00  AM,22.525,,,
38,06/01/14 03:30:00  AM,22.429,,,
39,06/01/14 04:00:00  AM,22.429,,,
40,06/01/14 04:30:00  AM,22.333,,,
41,06/01/14 05:00:00  AM,22.238,,,
42,06/01/14 05:30:00  AM,22.238,,,
43,06/01/14 06:00:00  AM,22.238,,,
44,06/01/14 06:30:00  AM,22.238,,,
45,06/01/14 07:00:00  AM,22.238,,,
46,06/01/14 07:30:00  AM,22.142,,,
47,06/01/14 08:00:00  AM,22.142,,,
48,06/01/14 08:30:00  AM,22.142,,,
49,06/01/14 09:00:00  AM,22.238,,,
50,06/01/14 09:30:00  AM,22.525,,,
51,06/01/14 10:00:00  AM,22.621,,,
52,06/01/14 10:30:00  AM,22.717,,,
53,06/01/14 11:00:00  AM,22.812,,,
54,06/01/14 11:30:00  AM,23.004,,,
55,06/01/14 12:00:00  PM,23.196,,,
56,06/01/14 12:30:00  PM,23.388,,,
57,06/01/14 01:00:00  PM,23.484,,,
58,06/01/14 01:30:00  PM,23.581,,,
