"Plot Title: 240 ELA 2014"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9714020, SEN S/N: 9714020)","Coupler Attached (LGR S/N: 9714020)","Host Connected (LGR S/N: 9714020)","Coupler Detached (LGR S/N: 9714020)","Stopped (LGR S/N: 9714020)","End Of File (LGR S/N: 9714020)"
1,05/31/14 09:00:00  AM,23.677,,,,,
2,05/31/14 09:30:00  AM,20.234,,,,,
3,05/31/14 10:00:00  AM,20.329,,,,,
4,05/31/14 10:30:00  AM,20.329,,,,,
5,05/31/14 11:00:00  AM,20.519,,,,,
6,05/31/14 11:30:00  AM,20.805,,,,,
7,05/31/14 12:00:00  PM,21.091,,,,,
8,05/31/14 12:30:00  PM,21.091,,,,,
9,05/31/14 01:00:00  PM,21.187,,,,,
10,05/31/14 01:30:00  PM,21.378,,,,,
11,05/31/14 02:00:00  PM,21.664,,,,,
12,05/31/14 02:30:00  PM,21.664,,,,,
13,05/31/14 03:00:00  PM,21.664,,,,,
14,05/31/14 03:30:00  PM,21.855,,,,,
15,05/31/14 04:00:00  PM,22.142,,,,,
16,05/31/14 04:30:00  PM,21.951,,,,,
17,05/31/14 05:00:00  PM,21.855,,,,,
18,05/31/14 05:30:00  PM,21.855,,,,,
19,05/31/14 06:00:00  PM,21.855,,,,,
20,05/31/14 06:30:00  PM,21.760,,,,,
21,05/31/14 07:00:00  PM,21.760,,,,,
22,05/31/14 07:30:00  PM,21.664,,,,,
23,05/31/14 08:00:00  PM,21.664,,,,,
24,05/31/14 08:30:00  PM,21.569,,,,,
25,05/31/14 09:00:00  PM,21.569,,,,,
26,05/31/14 09:30:00  PM,21.569,,,,,
27,05/31/14 10:00:00  PM,21.473,,,,,
28,05/31/14 10:30:00  PM,21.473,,,,,
29,05/31/14 11:00:00  PM,21.473,,,,,
30,05/31/14 11:30:00  PM,21.378,,,,,
31,06/01/14 12:00:00  AM,21.378,,,,,
32,06/01/14 12:30:00  AM,21.282,,,,,
33,06/01/14 01:00:00  AM,21.282,,,,,
34,06/01/14 01:30:00  AM,21.282,,,,,
35,06/01/14 02:00:00  AM,21.282,,,,,
36,06/01/14 02:30:00  AM,21.187,,,,,
37,06/01/14 03:00:00  AM,21.187,,,,,
38,06/01/14 03:30:00  AM,21.091,,,,,
39,06/01/14 04:00:00  AM,21.091,,,,,
40,06/01/14 04:30:00  AM,21.091,,,,,
41,06/01/14 05:00:00  AM,20.996,,,,,
42,06/01/14 05:30:00  AM,20.901,,,,,
43,06/01/14 06:00:00  AM,20.901,,,,,
44,06/01/14 06:30:00  AM,20.901,,,,,
45,06/01/14 07:00:00  AM,20.901,,,,,
46,06/01/14 07:30:00  AM,20.996,,,,,
47,06/01/14 08:00:00  AM,20.996,,,,,
48,06/01/14 08:30:00  AM,21.091,,,,,
49,06/01/14 09:00:00  AM,21.473,,,,,
50,06/01/14 09:30:00  AM,21.378,,,,,
51,06/01/14 10:00:00  AM,21.473,,,,,
52,06/01/14 10:30:00  AM,21.569,,,,,
53,06/01/14 11:00:00  AM,21.569,,,,,
54,06/01/14 11:30:00  AM,21.664,,,,,
55,06/01/14 12:00:00  PM,21.760,,,,,
56,06/01/14 12:30:00  PM,21.855,,,,,
57,06/01/14 01:00:00  PM,21.855,,,,,
58,06/01/14 01:30:00  PM,22.046,,,,,
59,06/01/14 02:00:00  PM,21.951,,,,,
60,06/01/14 02:30:00  PM,22.046,,,,,
61,06/01/14 03:00:00  PM,22.142,,,,,
62,06/01/14 03:30:00  PM,22.429,,,,,
63,06/01/14 04:00:00  PM,22.525,,,,,
64,06/01/14 04:30:00  PM,22.333,,,,,
65,06/01/14 05:00:00  PM,22.238,,,,,
66,06/01/14 05:30:00  PM,22.142,,,,,
67,06/01/14 06:00:00  PM,22.046,,,,,
68,06/01/14 06:30:00  PM,22.046,,,,,
69,06/01/14 07:00:00  PM,21.951,,,,,
70,06/01/14 07:30:00  PM,21.855,,,,,
71,06/01/14 08:00:00  PM,21.855,,,,,
72,06/01/14 08:30:00  PM,22.046,,,,,
73,06/01/14 09:00:00  PM,22.046,,,,,
74,06/01/14 09:30:00  PM,21.951,,,,,
75,06/01/14 10:00:00  PM,21.951,,,,,
76,06/01/14 10:30:00  PM,21.951,,,,,
77,06/01/14 11:00:00  PM,21.855,,,,,
78,06/01/14 11:30:00  PM,21.855,,,,,
79,06/02/14 12:00:00  AM,21.855,,,,,
80,06/02/14 12:30:00  AM,21.760,,,,,
81,06/02/14 01:00:00  AM,21.760,,,,,
82,06/02/14 01:30:00  AM,21.664,,,,,
83,06/02/14 02:00:00  AM,21.569,,,,,
84,06/02/14 02:30:00  AM,21.569,,,,,
85,06/02/14 03:00:00  AM,21.473,,,,,
86,06/02/14 03:30:00  AM,21.473,,,,,
87,06/02/14 04:00:00  AM,21.378,,,,,
88,06/02/14 04:30:00  AM,21.378,,,,,
89,06/02/14 05:00:00  AM,21.282,,,,,
90,06/02/14 05:30:00  AM,21.187,,,,,
91,06/02/14 06:00:00  AM,21.187,,,,,
92,06/02/14 06:30:00  AM,21.091,,,,,
93,06/02/14 07:00:00  AM,21.091,,,,,
94,06/02/14 07:30:00  AM,20.996,,,,,
95,06/02/14 08:00:00  AM,20.996,,,,,
96,06/02/14 08:30:00  AM,20.901,,,,,
97,06/02/14 09:00:00  AM,20.901,,,,,
98,06/02/14 09:30:00  AM,20.901,,,,,
99,06/02/14 10:00:00  AM,20.901,,,,,
100,06/02/14 10:30:00  AM,20.805,,,,,
101,06/02/14 11:00:00  AM,20.710,,,,,
102,06/02/14 11:30:00  AM,20.615,,,,,
103,06/02/14 12:00:00  PM,20.615,,,,,
104,06/02/14 12:30:00  PM,20.615,,,,,
105,06/02/14 01:00:00  PM,20.519,,,,,
106,06/02/14 01:30:00  PM,20.424,,,,,
107,06/02/14 02:00:00  PM,20.329,,,,,
108,06/02/14 02:30:00  PM,20.329,,,,,
109,06/02/14 03:00:00  PM,20.234,,,,,
110,06/02/14 03:30:00  PM,20.138,,,,,
111,06/02/14 04:00:00  PM,20.043,,,,,
112,06/02/14 04:30:00  PM,19.948,,,,,
113,06/02/14 05:00:00  PM,19.853,,,,,
114,06/02/14 05:30:00  PM,19.758,,,,,
115,06/02/14 06:00:00  PM,19.567,,,,,
116,06/02/14 06:30:00  PM,19.567,,,,,
117,06/02/14 07:00:00  PM,19.567,,,,,
118,06/02/14 07:30:00  PM,19.472,,,,,
119,06/02/14 08:00:00  PM,19.377,,,,,
120,06/02/14 08:30:00  PM,19.282,,,,,
121,06/02/14 09:00:00  PM,19.187,,,,,
122,06/02/14 09:30:00  PM,19.092,,,,,
123,06/02/14 10:00:00  PM,19.092,,,,,
124,06/02/14 10:30:00  PM,18.996,,,,,
125,06/02/14 11:00:00  PM,18.996,,,,,
126,06/02/14 11:30:00  PM,18.996,,,,,
127,06/03/14 12:00:00  AM,18.901,,,,,
128,06/03/14 12:30:00  AM,18.901,,,,,
129,06/03/14 01:00:00  AM,18.806,,,,,
130,06/03/14 01:30:00  AM,18.806,,,,,
131,06/03/14 02:00:00  AM,18.711,,,,,
132,06/03/14 02:30:00  AM,18.711,,,,,
133,06/03/14 03:00:00  AM,18.711,,,,,
134,06/03/14 03:30:00  AM,18.711,,,,,
135,06/03/14 04:00:00  AM,18.616,,,,,
136,06/03/14 04:30:00  AM,18.616,,,,,
137,06/03/14 05:00:00  AM,18.521,,,,,
138,06/03/14 05:30:00  AM,18.521,,,,,
139,06/03/14 06:00:00  AM,18.426,,,,,
140,06/03/14 06:30:00  AM,18.426,,,,,
141,06/03/14 07:00:00  AM,18.426,,,,,
142,06/03/14 07:30:00  AM,18.521,,,,,
143,06/03/14 08:00:00  AM,18.521,,,,,
144,06/03/14 08:30:00  AM,18.521,,,,,
145,06/03/14 09:00:00  AM,18.521,,,,,
146,06/03/14 09:30:00  AM,18.806,,,,,
147,06/03/14 10:00:00  AM,18.806,,,,,
148,06/03/14 10:30:00  AM,18.996,,,,,
149,06/03/14 11:00:00  AM,18.806,,,,,
150,06/03/14 11:30:00  AM,19.187,,,,,
151,06/03/14 12:00:00  PM,19.187,,,,,
152,06/03/14 12:30:00  PM,19.187,,,,,
153,06/03/14 01:00:00  PM,19.567,,,,,
154,06/03/14 01:30:00  PM,19.472,,,,,
155,06/03/14 02:00:00  PM,19.282,,,,,
156,06/03/14 02:30:00  PM,19.758,,,,,
157,06/03/14 03:00:00  PM,20.138,,,,,
158,06/03/14 03:30:00  PM,20.138,,,,,
159,06/03/14 04:00:00  PM,20.234,,,,,
160,06/03/14 04:30:00  PM,19.948,,,,,
161,06/03/14 05:00:00  PM,19.853,,,,,
162,06/03/14 05:30:00  PM,19.662,,,,,
163,06/03/14 06:00:00  PM,19.758,,,,,
164,06/03/14 06:30:00  PM,19.662,,,,,
165,06/03/14 07:00:00  PM,19.567,,,,,
166,06/03/14 07:30:00  PM,19.758,,,,,
167,06/03/14 08:00:00  PM,19.758,,,,,
168,06/03/14 08:30:00  PM,19.662,,,,,
169,06/03/14 09:00:00  PM,19.567,,,,,
