"Plot Title: L114 - Surface Temp"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 9661432, SEN S/N: 9661432)","Coupler Attached (LGR S/N: 9661432)","Host Connected (LGR S/N: 9661432)","Coupler Detached (LGR S/N: 9661432)","Stopped (LGR S/N: 9661432)","End Of File (LGR S/N: 9661432)"
1,10/06/14 12:00:00  PM,7.381,,,,,
2,10/06/14 01:00:00  PM,7.381,,,,,
3,10/06/14 02:00:00  PM,7.481,,,,,
4,10/06/14 03:00:00  PM,7.481,,,,,
5,10/06/14 04:00:00  PM,7.381,,,,,
6,10/06/14 05:00:00  PM,7.481,,,,,
7,10/06/14 06:00:00  PM,7.381,,,,,
8,10/06/14 07:00:00  PM,7.381,,,,,
9,10/06/14 08:00:00  PM,7.381,,,,,
10,10/06/14 09:00:00  PM,7.280,,,,,
11,10/06/14 10:00:00  PM,7.280,,,,,
12,10/06/14 11:00:00  PM,7.280,,,,,
13,10/07/14 12:00:00  AM,7.280,,,,,
14,10/07/14 01:00:00  AM,7.179,,,,,
15,10/07/14 02:00:00  AM,7.179,,,,,
16,10/07/14 03:00:00  AM,7.079,,,,,
17,10/07/14 04:00:00  AM,6.978,,,,,
18,10/07/14 05:00:00  AM,6.877,,,,,
19,10/07/14 06:00:00  AM,6.775,,,,,
20,10/07/14 07:00:00  AM,6.674,,,,,
21,10/07/14 08:00:00  AM,6.674,,,,,
22,10/07/14 09:00:00  AM,6.674,,,,,
23,10/07/14 10:00:00  AM,6.775,,,,,
24,10/07/14 11:00:00  AM,6.775,,,,,
25,10/07/14 12:00:00  PM,6.877,,,,,
26,10/07/14 01:00:00  PM,6.978,,,,,
27,10/07/14 02:00:00  PM,7.079,,,,,
28,10/07/14 03:00:00  PM,7.079,,,,,
29,10/07/14 04:00:00  PM,7.179,,,,,
30,10/07/14 05:00:00  PM,6.978,,,,,
31,10/07/14 06:00:00  PM,6.978,,,,,
32,10/07/14 07:00:00  PM,6.877,,,,,
33,10/07/14 08:00:00  PM,6.877,,,,,
34,10/07/14 09:00:00  PM,6.877,,,,,
35,10/07/14 10:00:00  PM,6.775,,,,,
36,10/07/14 11:00:00  PM,6.775,,,,,
37,10/08/14 12:00:00  AM,6.775,,,,,
38,10/08/14 01:00:00  AM,6.775,,,,,
39,10/08/14 02:00:00  AM,6.674,,,,,
40,10/08/14 03:00:00  AM,6.573,,,,,
41,10/08/14 04:00:00  AM,6.674,,,,,
42,10/08/14 05:00:00  AM,6.573,,,,,
43,10/08/14 06:00:00  AM,6.573,,,,,
44,10/08/14 07:00:00  AM,6.573,,,,,
45,10/08/14 08:00:00  AM,6.471,,,,,
46,10/08/14 09:00:00  AM,6.471,,,,,
47,10/08/14 10:00:00  AM,6.471,,,,,
48,10/08/14 11:00:00  AM,6.471,,,,,
49,10/08/14 12:00:00  PM,6.471,,,,,
50,10/08/14 01:00:00  PM,6.674,,,,,
51,10/08/14 02:00:00  PM,7.079,,,,,
52,10/08/14 03:00:00  PM,7.079,,,,,
53,10/08/14 04:00:00  PM,7.079,,,,,
54,10/08/14 05:00:00  PM,7.079,,,,,
55,10/08/14 06:00:00  PM,6.978,,,,,
56,10/08/14 07:00:00  PM,6.978,,,,,
57,10/08/14 08:00:00  PM,6.978,,,,,
58,10/08/14 09:00:00  PM,6.978,,,,,
59,10/08/14 10:00:00  PM,6.877,,,,,
60,10/08/14 11:00:00  PM,6.877,,,,,
61,10/09/14 12:00:00  AM,6.877,,,,,
62,10/09/14 01:00:00  AM,6.877,,,,,
63,10/09/14 02:00:00  AM,6.775,,,,,
64,10/09/14 03:00:00  AM,6.775,,,,,
65,10/09/14 04:00:00  AM,6.775,,,,,
66,10/09/14 05:00:00  AM,6.775,,,,,
67,10/09/14 06:00:00  AM,6.674,,,,,
68,10/09/14 07:00:00  AM,6.674,,,,,
69,10/09/14 08:00:00  AM,6.674,,,,,
70,10/09/14 09:00:00  AM,6.674,,,,,
71,10/09/14 10:00:00  AM,6.674,,,,,
72,10/09/14 11:00:00  AM,6.775,,,,,
73,10/09/14 12:00:00  PM,6.978,,,,,
74,10/09/14 01:00:00  PM,7.079,,,,,
75,10/09/14 02:00:00  PM,7.079,,,,,
76,10/09/14 03:00:00  PM,7.079,,,,,
77,10/09/14 04:00:00  PM,7.179,,,,,
78,10/09/14 05:00:00  PM,7.179,,,,,
79,10/09/14 06:00:00  PM,7.280,,,,,
80,10/09/14 07:00:00  PM,7.280,,,,,
81,10/09/14 08:00:00  PM,7.280,,,,,
82,10/09/14 09:00:00  PM,7.179,,,,,
83,10/09/14 10:00:00  PM,7.179,,,,,
84,10/09/14 11:00:00  PM,7.179,,,,,
85,10/10/14 12:00:00  AM,7.079,,,,,
86,10/10/14 01:00:00  AM,7.079,,,,,
87,10/10/14 02:00:00  AM,7.079,,,,,
88,10/10/14 03:00:00  AM,7.079,,,,,
89,10/10/14 04:00:00  AM,7.079,,,,,
90,10/10/14 05:00:00  AM,6.978,,,,,
91,10/10/14 06:00:00  AM,6.978,,,,,
92,10/10/14 07:00:00  AM,6.978,,,,,
93,10/10/14 08:00:00  AM,6.978,,,,,
94,10/10/14 09:00:00  AM,6.978,,,,,
95,10/10/14 10:00:00  AM,6.978,,,,,
96,10/10/14 11:00:00  AM,6.978,,,,,
97,10/10/14 12:00:00  PM,7.079,,,,,
98,10/10/14 01:00:00  PM,7.079,,,,,
99,10/10/14 02:00:00  PM,7.179,,,,,
100,10/10/14 03:00:00  PM,7.280,,,,,
101,10/10/14 04:00:00  PM,7.280,,,,,
102,10/10/14 05:00:00  PM,7.280,,,,,
103,10/10/14 06:00:00  PM,7.280,,,,,
104,10/10/14 07:00:00  PM,7.179,,,,,
105,10/10/14 08:00:00  PM,7.179,,,,,
106,10/10/14 09:00:00  PM,7.179,,,,,
107,10/10/14 10:00:00  PM,7.079,,,,,
108,10/10/14 11:00:00  PM,7.079,,,,,
109,10/11/14 12:00:00  AM,6.978,,,,,
110,10/11/14 01:00:00  AM,6.978,,,,,
111,10/11/14 02:00:00  AM,6.978,,,,,
112,10/11/14 03:00:00  AM,6.978,,,,,
113,10/11/14 04:00:00  AM,6.877,,,,,
114,10/11/14 05:00:00  AM,6.775,,,,,
115,10/11/14 06:00:00  AM,6.775,,,,,
116,10/11/14 07:00:00  AM,6.674,,,,,
117,10/11/14 08:00:00  AM,6.674,,,,,
118,10/11/14 09:00:00  AM,6.674,,,,,
119,10/11/14 10:00:00  AM,6.471,,,,,
120,10/11/14 11:00:00  AM,6.471,,,,,
121,10/11/14 12:00:00  PM,6.674,,,,,
122,10/11/14 01:00:00  PM,6.877,,,,,
123,10/11/14 02:00:00  PM,7.280,,,,,
124,10/11/14 03:00:00  PM,7.481,,,,,
125,10/11/14 04:00:00  PM,7.782,,,,,
126,10/11/14 05:00:00  PM,7.682,,,,,
127,10/11/14 06:00:00  PM,7.682,,,,,
128,10/11/14 07:00:00  PM,7.481,,,,,
129,10/11/14 08:00:00  PM,7.481,,,,,
130,10/11/14 09:00:00  PM,7.481,,,,,
131,10/11/14 10:00:00  PM,7.582,,,,,
132,10/11/14 11:00:00  PM,7.682,,,,,
