Date,Meso,A350,A280,A256
21-Jun-12,1,0.031525761,0.116257131,0.162594184
21-Jun-12,2,0.031272702,0.11621207,0.162235454
21-Jun-12,3,0.030517304,0.113019511,0.158408478
21-Jun-12,4,0.030681623,0.114171565,0.159711152
21-Jun-12,5,0.030180968,0.11143072,0.156126097
21-Jun-12,6,0.029989792,0.111051269,0.156213373
21-Jun-12,7,0.03036326,0.110488832,0.155024678
21-Jun-12,8,0.030382333,0.113338806,0.159190789
21-Jun-12,9,0.030250013,0.112388328,0.157385975
21-Jun-12,10,0.029722855,0.10876365,0.156711757
21-Jun-12,11,0.0296029,0.111210287,0.156784222
21-Jun-12,12,0.031569351,0.115813188,0.162157878
26-Jun-12,1,0.033332296,0.121168926,0.168717489
26-Jun-12,2,0.03152832,0.114477322,0.161067486
26-Jun-12,4,0.030789178,0.112157285,0.157555193
26-Jun-12,5,0.029075418,0.109659307,0.159062818
26-Jun-12,6,0.030062385,0.11215283,0.160861388
26-Jun-12,7,0.029543601,0.11161387,0.157783598
26-Jun-12,8,0.028343391,0.107020348,0.155736625
26-Jun-12,10,0.028422784,0.108399786,0.157452151
26-Jun-12,11,0.030503446,0.113937356,0.160575047
26-Jun-12,12,0.029336227,0.110524394,0.158594608
04-Jul-12,1,0.030705016,0.115449719,0.162639916
04-Jul-12,2,0.030445468,0.114012942,0.160012975
04-Jul-12,4,0.028880108,0.106493935,0.154828712
04-Jul-12,5,0.032895084,0.114150018,0.161174402
04-Jul-12,6,0.030737134,0.114993811,0.161863402
04-Jul-12,7,0.031667855,0.117125914,0.166318655
04-Jul-12,8,0.030387525,0.113278091,0.158995211
04-Jul-12,10,0.029878832,0.112890109,0.159704909
04-Jul-12,11,0.029834993,0.112330653,0.158361882
04-Jul-12,12,0.030961607,0.115469538,0.163002357
18-Jul-12,1,0.027365418,0.108480997,0.153692737
18-Jul-12,2,0.029861335,0.126227588,0.1737234
18-Jul-12,3,0.027789535,0.106934547,0.151550904
18-Jul-12,4,0.027157895,0.104542173,0.149576321
18-Jul-12,5,0.0302766,0.113713965,0.159904063
18-Jul-12,6,0.026578248,0.106259435,0.151785299
18-Jul-12,7,0.028116649,0.109951533,0.15636918
18-Jul-12,8,0.02638172,0.103841931,0.147772536
18-Jul-12,9,0.028378898,0.107627928,0.151615709
18-Jul-12,10,0.026877739,0.105445392,0.149745673
18-Jul-12,11,0.026636181,0.104385614,0.147921339
18-Jul-12,12,0.027063029,0.106603414,0.151608288
25-Jul-12,1,0.023536038,0.099426575,0.14450857
25-Jul-12,2,0.022279697,0.095052682,0.141324461
25-Jul-12,3,0.023277132,0.093131386,0.140139148
25-Jul-12,4,0.031135106,0.1105088,0.145234317
25-Jul-12,5,0.022941416,0.096548371,0.144515604
25-Jul-12,6,0.022486536,0.095384799,0.142694518
25-Jul-12,7,0.024830529,0.102928422,0.149459407
25-Jul-12,8,0.023986492,0.097215146,0.143298954
25-Jul-12,9,0.023300266,0.095451809,0.141243652
25-Jul-12,10,0.024809564,0.100343436,0.144265756
25-Jul-12,11,0.023819052,0.098576538,0.142331213
25-Jul-12,12,0.022107003,0.094994403,0.142811939
01-Aug-12,1,0.022551641,0.095905662,0.14098084
01-Aug-12,2,0.022786081,0.097594514,0.141491845
01-Aug-12,3,0.022534138,0.093611814,0.139597282
01-Aug-12,4,0.023419803,0.094474092,0.139995083
01-Aug-12,5,0.02635779,0.103522837,0.149993181
01-Aug-12,6,0.020567099,0.097106658,0.142758459
01-Aug-12,7,0.023679696,0.098992631,0.143188641
01-Aug-12,8,0.023547625,0.096150883,0.139917016
01-Aug-12,9,0.020803455,0.087874323,0.132344618
01-Aug-12,10,0.022269506,0.091738038,0.136031881
01-Aug-12,11,0.019788487,0.084578961,0.127536058
01-Aug-12,12,0.022156687,0.094032563,0.139594182
