"Plot Title: Algae growth area "
"#","Time, GMT-05:00","Temp, °C()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,01/19/12 05:00:00  PM,20.901,,,,
2,01/19/12 05:30:00  PM,20.519,,,,
3,01/19/12 06:00:00  PM,20.329,,,,
4,01/19/12 06:30:00  PM,20.138,,,,
5,01/19/12 07:00:00  PM,20.043,,,,
6,01/19/12 07:30:00  PM,19.948,,,,
7,01/19/12 08:00:00  PM,19.853,,,,
8,01/19/12 08:30:00  PM,19.853,,,,
9,01/19/12 09:00:00  PM,19.758,,,,
10,01/19/12 09:30:00  PM,19.758,,,,
11,01/19/12 10:00:00  PM,19.758,,,,
12,01/19/12 10:30:00  PM,19.758,,,,
13,01/19/12 11:00:00  PM,19.662,,,,
14,01/19/12 11:30:00  PM,19.662,,,,
15,01/20/12 12:00:00  AM,19.567,,,,
16,01/20/12 12:30:00  AM,19.662,,,,
17,01/20/12 01:00:00  AM,19.567,,,,
18,01/20/12 01:30:00  AM,19.662,,,,
19,01/20/12 02:00:00  AM,19.567,,,,
20,01/20/12 02:30:00  AM,19.567,,,,
21,01/20/12 03:00:00  AM,19.567,,,,
22,01/20/12 03:30:00  AM,19.567,,,,
23,01/20/12 04:00:00  AM,19.472,,,,
24,01/20/12 04:30:00  AM,19.472,,,,
25,01/20/12 05:00:00  AM,19.472,,,,
26,01/20/12 05:30:00  AM,19.472,,,,
27,01/20/12 06:00:00  AM,19.472,,,,
28,01/20/12 06:30:00  AM,19.472,,,,
29,01/20/12 07:00:00  AM,19.472,,,,
30,01/20/12 07:30:00  AM,19.567,,,,
31,01/20/12 08:00:00  AM,19.567,,,,
32,01/20/12 08:30:00  AM,19.472,,,,
33,01/20/12 09:00:00  AM,19.472,,,,
34,01/20/12 09:30:00  AM,19.377,,,,
35,01/20/12 10:00:00  AM,19.472,,,,
36,01/20/12 10:30:00  AM,19.472,,,,
37,01/20/12 11:00:00  AM,19.472,,,,
38,01/20/12 11:30:00  AM,19.567,,,,
39,01/20/12 12:00:00  PM,19.567,,,,
40,01/20/12 12:30:00  PM,19.472,,,,
41,01/20/12 01:00:00  PM,19.472,,,,
42,01/20/12 01:30:00  PM,19.472,,,,
43,01/20/12 02:00:00  PM,19.567,,,,
44,01/20/12 02:30:00  PM,19.662,,,,
45,01/20/12 03:00:00  PM,19.662,,,,
46,01/20/12 03:30:00  PM,19.662,,,,
47,01/20/12 04:00:00  PM,19.662,,,,
48,01/20/12 04:30:00  PM,19.662,,,,
49,01/20/12 05:00:00  PM,19.758,,,,
50,01/20/12 05:30:00  PM,19.758,,,,
51,01/20/12 06:00:00  PM,19.758,,,,
52,01/20/12 06:30:00  PM,19.758,,,,
53,01/20/12 07:00:00  PM,19.662,,,,
54,01/20/12 07:30:00  PM,19.758,,,,
55,01/20/12 08:00:00  PM,19.758,,,,
56,01/20/12 08:30:00  PM,19.662,,,,
57,01/20/12 09:00:00  PM,19.758,,,,
58,01/20/12 09:30:00  PM,19.758,,,,
59,01/20/12 10:00:00  PM,19.758,,,,
60,01/20/12 10:30:00  PM,19.758,,,,
61,01/20/12 11:00:00  PM,19.662,,,,
62,01/20/12 11:30:00  PM,19.662,,,,
63,01/21/12 12:00:00  AM,19.662,,,,
64,01/21/12 12:30:00  AM,19.662,,,,
65,01/21/12 01:00:00  AM,19.567,,,,
66,01/21/12 01:30:00  AM,19.567,,,,
67,01/21/12 02:00:00  AM,19.567,,,,
68,01/21/12 02:30:00  AM,19.567,,,,
69,01/21/12 03:00:00  AM,19.567,,,,
70,01/21/12 03:30:00  AM,19.567,,,,
71,01/21/12 04:00:00  AM,19.567,,,,
72,01/21/12 04:30:00  AM,19.567,,,,
73,01/21/12 05:00:00  AM,19.567,,,,
74,01/21/12 05:30:00  AM,19.567,,,,
75,01/21/12 06:00:00  AM,19.567,,,,
76,01/21/12 06:30:00  AM,19.567,,,,
