"Plot Title: ela_meso_12 "
"#","Time, GMT-04:00","Temp, °C()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,06/27/12 12:00:00  AM,22.046,,,,
2,06/27/12 12:30:00  AM,22.046,,,,
3,06/27/12 01:00:00  AM,22.046,,,,
4,06/27/12 01:30:00  AM,22.046,,,,
5,06/27/12 02:00:00  AM,22.046,,,,
6,06/27/12 02:30:00  AM,22.046,,,,
7,06/27/12 03:00:00  AM,22.046,,,,
8,06/27/12 03:30:00  AM,21.951,,,,
9,06/27/12 04:00:00  AM,21.951,,,,
10,06/27/12 04:30:00  AM,21.855,,,,
11,06/27/12 05:00:00  AM,21.855,,,,
12,06/27/12 05:30:00  AM,21.760,,,,
13,06/27/12 06:00:00  AM,21.760,,,,
14,06/27/12 06:30:00  AM,21.664,,,,
15,06/27/12 07:00:00  AM,21.664,,,,
16,06/27/12 07:30:00  AM,21.664,,,,
17,06/27/12 08:00:00  AM,21.664,,,,
18,06/27/12 08:30:00  AM,21.664,,,,
19,06/27/12 09:00:00  AM,21.760,,,,
20,06/27/12 09:30:00  AM,21.760,,,,
21,06/27/12 10:00:00  AM,21.855,,,,
22,06/27/12 10:30:00  AM,21.855,,,,
23,06/27/12 11:00:00  AM,21.855,,,,
24,06/27/12 11:30:00  AM,22.046,,,,
25,06/27/12 12:00:00  PM,22.525,,,,
26,06/27/12 12:30:00  PM,22.717,,,,
27,06/27/12 01:00:00  PM,23.004,,,,
28,06/27/12 01:30:00  PM,23.100,,,,
29,06/27/12 02:00:00  PM,23.100,,,,
30,06/27/12 02:30:00  PM,23.292,,,,
31,06/27/12 03:00:00  PM,23.484,,,,
32,06/27/12 03:30:00  PM,23.484,,,,
33,06/27/12 04:00:00  PM,23.484,,,,
34,06/27/12 04:30:00  PM,23.388,,,,
35,06/27/12 05:00:00  PM,23.388,,,,
36,06/27/12 05:30:00  PM,23.004,,,,
37,06/27/12 06:00:00  PM,23.004,,,,
38,06/27/12 06:30:00  PM,23.100,,,,
39,06/27/12 07:00:00  PM,23.196,,,,
40,06/27/12 07:30:00  PM,23.196,,,,
41,06/27/12 08:00:00  PM,23.292,,,,
42,06/27/12 08:30:00  PM,23.292,,,,
43,06/27/12 09:00:00  PM,23.388,,,,
44,06/27/12 09:30:00  PM,23.388,,,,
45,06/27/12 10:00:00  PM,23.388,,,,
46,06/27/12 10:30:00  PM,23.292,,,,
47,06/27/12 11:00:00  PM,23.196,,,,
48,06/27/12 11:30:00  PM,23.100,,,,
49,06/28/12 12:00:00  AM,23.004,,,,
50,06/28/12 12:30:00  AM,22.908,,,,
51,06/28/12 01:00:00  AM,22.908,,,,
52,06/28/12 01:30:00  AM,23.004,,,,
53,06/28/12 02:00:00  AM,23.004,,,,
54,06/28/12 02:30:00  AM,23.100,,,,
55,06/28/12 03:00:00  AM,23.100,,,,
56,06/28/12 03:30:00  AM,23.100,,,,
57,06/28/12 04:00:00  AM,23.100,,,,
58,06/28/12 04:30:00  AM,23.292,,,,
59,06/28/12 05:00:00  AM,23.292,,,,
60,06/28/12 05:30:00  AM,23.196,,,,
61,06/28/12 06:00:00  AM,23.100,,,,
62,06/28/12 06:30:00  AM,23.004,,,,
63,06/28/12 07:00:00  AM,22.908,,,,
64,06/28/12 07:30:00  AM,22.812,,,,
65,06/28/12 08:00:00  AM,22.812,,,,
66,06/28/12 08:30:00  AM,22.812,,,,
67,06/28/12 09:00:00  AM,22.812,,,,
68,06/28/12 09:30:00  AM,22.812,,,,
69,06/28/12 10:00:00  AM,22.717,,,,
70,06/28/12 10:30:00  AM,22.717,,,,
71,06/28/12 11:00:00  AM,22.812,,,,
72,06/28/12 11:30:00  AM,22.908,,,,
73,06/28/12 12:00:00  PM,23.388,,,,
74,06/28/12 12:30:00  PM,23.484,,,,
75,06/28/12 01:00:00  PM,23.677,,,,
76,06/28/12 01:30:00  PM,23.869,,,,
77,06/28/12 02:00:00  PM,24.062,,,,
78,06/28/12 02:30:00  PM,24.351,,,,
79,06/28/12 03:00:00  PM,24.641,,,,
80,06/28/12 03:30:00  PM,24.738,,,,
81,06/28/12 04:00:00  PM,24.738,,,,
82,06/28/12 04:30:00  PM,24.641,,,,
83,06/28/12 05:00:00  PM,24.835,,,,
84,06/28/12 05:30:00  PM,24.351,,,,
85,06/28/12 06:00:00  PM,24.351,,,,
86,06/28/12 06:30:00  PM,24.448,,,,
87,06/28/12 07:00:00  PM,24.448,,,,
88,06/28/12 07:30:00  PM,24.448,,,,
89,06/28/12 08:00:00  PM,24.448,,,,
90,06/28/12 08:30:00  PM,24.351,,,,
91,06/28/12 09:00:00  PM,24.255,,,,
92,06/28/12 09:30:00  PM,24.158,,,,
93,06/28/12 10:00:00  PM,24.062,,,,
94,06/28/12 10:30:00  PM,23.966,,,,
95,06/28/12 11:00:00  PM,23.773,,,,
96,06/28/12 11:30:00  PM,23.677,,,,
97,06/29/12 12:00:00  AM,23.581,,,,
98,06/29/12 12:30:00  AM,23.484,,,,
99,06/29/12 01:00:00  AM,23.388,,,,
100,06/29/12 01:30:00  AM,23.292,,,,
101,06/29/12 02:00:00  AM,23.196,,,,
102,06/29/12 02:30:00  AM,23.100,,,,
103,06/29/12 03:00:00  AM,23.004,,,,
104,06/29/12 03:30:00  AM,22.908,,,,
105,06/29/12 04:00:00  AM,22.812,,,,
106,06/29/12 04:30:00  AM,22.717,,,,
107,06/29/12 05:00:00  AM,22.621,,,,
108,06/29/12 05:30:00  AM,22.621,,,,
109,06/29/12 06:00:00  AM,22.525,,,,
110,06/29/12 06:30:00  AM,22.429,,,,
111,06/29/12 07:00:00  AM,22.333,,,,
112,06/29/12 07:30:00  AM,22.238,,,,
113,06/29/12 08:00:00  AM,22.333,,,,
114,06/29/12 08:30:00  AM,22.333,,,,
115,06/29/12 09:00:00  AM,22.238,,,,
116,06/29/12 09:30:00  AM,22.238,,,,
117,06/29/12 10:00:00  AM,22.238,,,,
118,06/29/12 10:30:00  AM,22.238,,,,
119,06/29/12 11:00:00  AM,22.525,,,,
120,06/29/12 11:30:00  AM,22.621,,,,
121,06/29/12 12:00:00  PM,22.525,,,,
122,06/29/12 12:30:00  PM,23.004,,,,
123,06/29/12 01:00:00  PM,23.100,,,,
124,06/29/12 01:30:00  PM,23.292,,,,
125,06/29/12 02:00:00  PM,23.581,,,,
126,06/29/12 02:30:00  PM,23.484,,,,
127,06/29/12 03:00:00  PM,23.966,,,,
128,06/29/12 03:30:00  PM,23.484,,,,
129,06/29/12 04:00:00  PM,24.062,,,,
130,06/29/12 04:30:00  PM,23.484,,,,
131,06/29/12 05:00:00  PM,24.351,,,,
132,06/29/12 05:30:00  PM,23.677,,,,
133,06/29/12 06:00:00  PM,23.773,,,,
134,06/29/12 06:30:00  PM,23.869,,,,
135,06/29/12 07:00:00  PM,23.966,,,,
136,06/29/12 07:30:00  PM,23.869,,,,
137,06/29/12 08:00:00  PM,24.062,,,,
138,06/29/12 08:30:00  PM,23.869,,,,
139,06/29/12 09:00:00  PM,23.869,,,,
140,06/29/12 09:30:00  PM,23.773,,,,
141,06/29/12 10:00:00  PM,23.677,,,,
142,06/29/12 10:30:00  PM,23.581,,,,
143,06/29/12 11:00:00  PM,23.484,,,,
144,06/29/12 11:30:00  PM,23.484,,,,
145,06/30/12 12:00:00  AM,23.388,,,,
146,06/30/12 12:30:00  AM,23.292,,,,
147,06/30/12 01:00:00  AM,23.196,,,,
148,06/30/12 01:30:00  AM,23.196,,,,
149,06/30/12 02:00:00  AM,23.100,,,,
150,06/30/12 02:30:00  AM,23.004,,,,
151,06/30/12 03:00:00  AM,22.908,,,,
152,06/30/12 03:30:00  AM,22.812,,,,
153,06/30/12 04:00:00  AM,22.812,,,,
154,06/30/12 04:30:00  AM,22.717,,,,
155,06/30/12 05:00:00  AM,22.621,,,,
156,06/30/12 05:30:00  AM,22.525,,,,
157,06/30/12 06:00:00  AM,22.525,,,,
158,06/30/12 06:30:00  AM,22.429,,,,
159,06/30/12 07:00:00  AM,22.333,,,,
160,06/30/12 07:30:00  AM,22.238,,,,
161,06/30/12 08:00:00  AM,22.238,,,,
162,06/30/12 08:30:00  AM,22.238,,,,
163,06/30/12 09:00:00  AM,22.238,,,,
164,06/30/12 09:30:00  AM,22.238,,,,
165,06/30/12 10:00:00  AM,22.238,,,,
166,06/30/12 10:30:00  AM,22.333,,,,
167,06/30/12 11:00:00  AM,22.621,,,,
168,06/30/12 11:30:00  AM,22.812,,,,
169,06/30/12 12:00:00  PM,22.812,,,,
170,06/30/12 12:30:00  PM,23.100,,,,
171,06/30/12 01:00:00  PM,23.004,,,,
172,06/30/12 01:30:00  PM,23.388,,,,
173,06/30/12 02:00:00  PM,23.869,,,,
174,06/30/12 02:30:00  PM,24.158,,,,
175,06/30/12 03:00:00  PM,23.388,,,,
176,06/30/12 03:30:00  PM,23.677,,,,
177,06/30/12 04:00:00  PM,23.966,,,,
178,06/30/12 04:30:00  PM,24.255,,,,
179,06/30/12 05:00:00  PM,24.738,,,,
180,06/30/12 05:30:00  PM,23.966,,,,
181,06/30/12 06:00:00  PM,24.255,,,,
182,06/30/12 06:30:00  PM,24.158,,,,
183,06/30/12 07:00:00  PM,24.158,,,,
184,06/30/12 07:30:00  PM,24.158,,,,
185,06/30/12 08:00:00  PM,24.255,,,,
186,06/30/12 08:30:00  PM,24.255,,,,
187,06/30/12 09:00:00  PM,24.351,,,,
188,06/30/12 09:30:00  PM,24.351,,,,
189,06/30/12 10:00:00  PM,24.351,,,,
190,06/30/12 10:30:00  PM,24.255,,,,
191,06/30/12 11:00:00  PM,24.158,,,,
192,06/30/12 11:30:00  PM,24.158,,,,
193,07/01/12 12:00:00  AM,23.966,,,,
194,07/01/12 12:30:00  AM,23.869,,,,
195,07/01/12 01:00:00  AM,23.773,,,,
196,07/01/12 01:30:00  AM,23.677,,,,
197,07/01/12 02:00:00  AM,23.581,,,,
198,07/01/12 02:30:00  AM,23.484,,,,
199,07/01/12 03:00:00  AM,23.388,,,,
200,07/01/12 03:30:00  AM,23.388,,,,
201,07/01/12 04:00:00  AM,23.292,,,,
202,07/01/12 04:30:00  AM,23.196,,,,
203,07/01/12 05:00:00  AM,23.100,,,,
204,07/01/12 05:30:00  AM,23.100,,,,
205,07/01/12 06:00:00  AM,23.004,,,,
206,07/01/12 06:30:00  AM,22.908,,,,
207,07/01/12 07:00:00  AM,22.812,,,,
208,07/01/12 07:30:00  AM,22.812,,,,
209,07/01/12 08:00:00  AM,22.812,,,,
210,07/01/12 08:30:00  AM,22.717,,,,
211,07/01/12 09:00:00  AM,22.812,,,,
212,07/01/12 09:30:00  AM,22.812,,,,
213,07/01/12 10:00:00  AM,22.812,,,,
214,07/01/12 10:30:00  AM,22.812,,,,
215,07/01/12 11:00:00  AM,23.196,,,,
216,07/01/12 11:30:00  AM,23.196,,,,
217,07/01/12 12:00:00  PM,23.292,,,,
218,07/01/12 12:30:00  PM,23.677,,,,
219,07/01/12 01:00:00  PM,24.158,,,,
220,07/01/12 01:30:00  PM,24.255,,,,
221,07/01/12 02:00:00  PM,24.448,,,,
222,07/01/12 02:30:00  PM,24.641,,,,
223,07/01/12 03:00:00  PM,24.738,,,,
224,07/01/12 03:30:00  PM,24.545,,,,
225,07/01/12 04:00:00  PM,24.931,,,,
226,07/01/12 04:30:00  PM,24.931,,,,
227,07/01/12 05:00:00  PM,24.931,,,,
228,07/01/12 05:30:00  PM,24.062,,,,
229,07/01/12 06:00:00  PM,24.062,,,,
230,07/01/12 06:30:00  PM,24.062,,,,
231,07/01/12 07:00:00  PM,24.158,,,,
232,07/01/12 07:30:00  PM,23.966,,,,
233,07/01/12 08:00:00  PM,24.062,,,,
