"Plot Title: ela_meso_8 "
"#","Time, GMT-04:00","Temp, °C()","Host Connected()","Coupler Attached()","Stopped()","End Of File()"
1,06/27/12 12:00:00  AM,22.046,,,,
2,06/27/12 12:30:00  AM,22.046,,,,
3,06/27/12 01:00:00  AM,22.046,,,,
4,06/27/12 01:30:00  AM,22.046,,,,
5,06/27/12 02:00:00  AM,22.046,,,,
6,06/27/12 02:30:00  AM,22.046,,,,
7,06/27/12 03:00:00  AM,21.951,,,,
8,06/27/12 03:30:00  AM,21.951,,,,
9,06/27/12 04:00:00  AM,21.855,,,,
10,06/27/12 04:30:00  AM,21.855,,,,
11,06/27/12 05:00:00  AM,21.760,,,,
12,06/27/12 05:30:00  AM,21.760,,,,
13,06/27/12 06:00:00  AM,21.664,,,,
14,06/27/12 06:30:00  AM,21.664,,,,
15,06/27/12 07:00:00  AM,21.664,,,,
16,06/27/12 07:30:00  AM,21.664,,,,
17,06/27/12 08:00:00  AM,21.664,,,,
18,06/27/12 08:30:00  AM,21.664,,,,
19,06/27/12 09:00:00  AM,21.760,,,,
20,06/27/12 09:30:00  AM,21.760,,,,
21,06/27/12 10:00:00  AM,21.855,,,,
22,06/27/12 10:30:00  AM,21.855,,,,
23,06/27/12 11:00:00  AM,21.951,,,,
24,06/27/12 11:30:00  AM,21.951,,,,
25,06/27/12 12:00:00  PM,21.951,,,,
26,06/27/12 12:30:00  PM,22.046,,,,
27,06/27/12 01:00:00  PM,22.429,,,,
28,06/27/12 01:30:00  PM,22.621,,,,
29,06/27/12 02:00:00  PM,22.717,,,,
30,06/27/12 02:30:00  PM,22.908,,,,
31,06/27/12 03:00:00  PM,23.004,,,,
32,06/27/12 03:30:00  PM,23.100,,,,
33,06/27/12 04:00:00  PM,23.196,,,,
34,06/27/12 04:30:00  PM,23.196,,,,
35,06/27/12 05:00:00  PM,23.292,,,,
36,06/27/12 05:30:00  PM,23.100,,,,
37,06/27/12 06:00:00  PM,23.004,,,,
38,06/27/12 06:30:00  PM,23.100,,,,
39,06/27/12 07:00:00  PM,23.196,,,,
40,06/27/12 07:30:00  PM,23.196,,,,
41,06/27/12 08:00:00  PM,23.292,,,,
42,06/27/12 08:30:00  PM,23.388,,,,
43,06/27/12 09:00:00  PM,23.388,,,,
44,06/27/12 09:30:00  PM,23.484,,,,
45,06/27/12 10:00:00  PM,23.484,,,,
46,06/27/12 10:30:00  PM,23.388,,,,
47,06/27/12 11:00:00  PM,23.388,,,,
48,06/27/12 11:30:00  PM,23.292,,,,
49,06/28/12 12:00:00  AM,23.292,,,,
50,06/28/12 12:30:00  AM,23.196,,,,
51,06/28/12 01:00:00  AM,23.292,,,,
52,06/28/12 01:30:00  AM,23.292,,,,
53,06/28/12 02:00:00  AM,23.388,,,,
54,06/28/12 02:30:00  AM,23.388,,,,
55,06/28/12 03:00:00  AM,23.388,,,,
56,06/28/12 03:30:00  AM,23.484,,,,
57,06/28/12 04:00:00  AM,23.388,,,,
58,06/28/12 04:30:00  AM,23.292,,,,
59,06/28/12 05:00:00  AM,23.292,,,,
60,06/28/12 05:30:00  AM,23.196,,,,
61,06/28/12 06:00:00  AM,23.100,,,,
62,06/28/12 06:30:00  AM,23.004,,,,
63,06/28/12 07:00:00  AM,22.908,,,,
64,06/28/12 07:30:00  AM,22.908,,,,
65,06/28/12 08:00:00  AM,22.908,,,,
66,06/28/12 08:30:00  AM,23.004,,,,
67,06/28/12 09:00:00  AM,23.004,,,,
68,06/28/12 09:30:00  AM,22.908,,,,
69,06/28/12 10:00:00  AM,23.004,,,,
70,06/28/12 10:30:00  AM,23.004,,,,
71,06/28/12 11:00:00  AM,22.812,,,,
72,06/28/12 11:30:00  AM,22.812,,,,
73,06/28/12 12:00:00  PM,22.812,,,,
74,06/28/12 12:30:00  PM,23.004,,,,
75,06/28/12 01:00:00  PM,23.484,,,,
76,06/28/12 01:30:00  PM,23.677,,,,
77,06/28/12 02:00:00  PM,23.677,,,,
78,06/28/12 02:30:00  PM,24.062,,,,
79,06/28/12 03:00:00  PM,24.062,,,,
80,06/28/12 03:30:00  PM,24.255,,,,
81,06/28/12 04:00:00  PM,24.448,,,,
82,06/28/12 04:30:00  PM,24.351,,,,
83,06/28/12 05:00:00  PM,24.545,,,,
84,06/28/12 05:30:00  PM,24.641,,,,
85,06/28/12 06:00:00  PM,24.448,,,,
86,06/28/12 06:30:00  PM,24.448,,,,
87,06/28/12 07:00:00  PM,24.255,,,,
88,06/28/12 07:30:00  PM,24.158,,,,
89,06/28/12 08:00:00  PM,24.062,,,,
90,06/28/12 08:30:00  PM,24.062,,,,
91,06/28/12 09:00:00  PM,23.966,,,,
92,06/28/12 09:30:00  PM,23.869,,,,
93,06/28/12 10:00:00  PM,23.773,,,,
94,06/28/12 10:30:00  PM,23.677,,,,
95,06/28/12 11:00:00  PM,23.581,,,,
96,06/28/12 11:30:00  PM,23.484,,,,
97,06/29/12 12:00:00  AM,23.388,,,,
98,06/29/12 12:30:00  AM,23.292,,,,
99,06/29/12 01:00:00  AM,23.196,,,,
100,06/29/12 01:30:00  AM,23.196,,,,
101,06/29/12 02:00:00  AM,23.100,,,,
102,06/29/12 02:30:00  AM,23.004,,,,
103,06/29/12 03:00:00  AM,22.908,,,,
104,06/29/12 03:30:00  AM,22.812,,,,
105,06/29/12 04:00:00  AM,22.717,,,,
106,06/29/12 04:30:00  AM,22.621,,,,
107,06/29/12 05:00:00  AM,22.621,,,,
108,06/29/12 05:30:00  AM,22.525,,,,
109,06/29/12 06:00:00  AM,22.429,,,,
110,06/29/12 06:30:00  AM,22.333,,,,
111,06/29/12 07:00:00  AM,22.238,,,,
112,06/29/12 07:30:00  AM,22.238,,,,
113,06/29/12 08:00:00  AM,22.238,,,,
114,06/29/12 08:30:00  AM,22.238,,,,
115,06/29/12 09:00:00  AM,22.333,,,,
116,06/29/12 09:30:00  AM,22.333,,,,
117,06/29/12 10:00:00  AM,22.333,,,,
118,06/29/12 10:30:00  AM,22.429,,,,
119,06/29/12 11:00:00  AM,22.621,,,,
120,06/29/12 11:30:00  AM,22.621,,,,
121,06/29/12 12:00:00  PM,22.525,,,,
122,06/29/12 12:30:00  PM,22.429,,,,
123,06/29/12 01:00:00  PM,22.525,,,,
124,06/29/12 01:30:00  PM,22.621,,,,
125,06/29/12 02:00:00  PM,22.812,,,,
126,06/29/12 02:30:00  PM,23.004,,,,
127,06/29/12 03:00:00  PM,23.388,,,,
128,06/29/12 03:30:00  PM,23.004,,,,
129,06/29/12 04:00:00  PM,23.388,,,,
130,06/29/12 04:30:00  PM,23.196,,,,
131,06/29/12 05:00:00  PM,23.581,,,,
132,06/29/12 05:30:00  PM,23.581,,,,
133,06/29/12 06:00:00  PM,23.581,,,,
134,06/29/12 06:30:00  PM,23.581,,,,
135,06/29/12 07:00:00  PM,23.484,,,,
136,06/29/12 07:30:00  PM,23.388,,,,
137,06/29/12 08:00:00  PM,23.484,,,,
138,06/29/12 08:30:00  PM,23.388,,,,
139,06/29/12 09:00:00  PM,23.484,,,,
140,06/29/12 09:30:00  PM,23.484,,,,
141,06/29/12 10:00:00  PM,23.484,,,,
142,06/29/12 10:30:00  PM,23.388,,,,
143,06/29/12 11:00:00  PM,23.388,,,,
144,06/29/12 11:30:00  PM,23.292,,,,
145,06/30/12 12:00:00  AM,23.196,,,,
146,06/30/12 12:30:00  AM,23.100,,,,
147,06/30/12 01:00:00  AM,23.100,,,,
148,06/30/12 01:30:00  AM,23.004,,,,
149,06/30/12 02:00:00  AM,22.908,,,,
150,06/30/12 02:30:00  AM,22.908,,,,
151,06/30/12 03:00:00  AM,22.812,,,,
152,06/30/12 03:30:00  AM,22.812,,,,
153,06/30/12 04:00:00  AM,22.717,,,,
154,06/30/12 04:30:00  AM,22.621,,,,
155,06/30/12 05:00:00  AM,22.525,,,,
156,06/30/12 05:30:00  AM,22.429,,,,
157,06/30/12 06:00:00  AM,22.429,,,,
158,06/30/12 06:30:00  AM,22.333,,,,
159,06/30/12 07:00:00  AM,22.238,,,,
160,06/30/12 07:30:00  AM,22.238,,,,
161,06/30/12 08:00:00  AM,22.238,,,,
162,06/30/12 08:30:00  AM,22.333,,,,
163,06/30/12 09:00:00  AM,22.429,,,,
164,06/30/12 09:30:00  AM,22.621,,,,
165,06/30/12 10:00:00  AM,22.621,,,,
166,06/30/12 10:30:00  AM,22.717,,,,
167,06/30/12 11:00:00  AM,22.812,,,,
168,06/30/12 11:30:00  AM,22.717,,,,
169,06/30/12 12:00:00  PM,22.621,,,,
170,06/30/12 12:30:00  PM,22.621,,,,
171,06/30/12 01:00:00  PM,22.717,,,,
172,06/30/12 01:30:00  PM,22.812,,,,
173,06/30/12 02:00:00  PM,23.004,,,,
174,06/30/12 02:30:00  PM,23.292,,,,
175,06/30/12 03:00:00  PM,23.100,,,,
176,06/30/12 03:30:00  PM,23.388,,,,
177,06/30/12 04:00:00  PM,23.581,,,,
178,06/30/12 04:30:00  PM,23.966,,,,
179,06/30/12 05:00:00  PM,24.255,,,,
180,06/30/12 05:30:00  PM,23.773,,,,
181,06/30/12 06:00:00  PM,24.351,,,,
182,06/30/12 06:30:00  PM,23.869,,,,
183,06/30/12 07:00:00  PM,23.869,,,,
184,06/30/12 07:30:00  PM,23.869,,,,
185,06/30/12 08:00:00  PM,23.869,,,,
186,06/30/12 08:30:00  PM,23.966,,,,
187,06/30/12 09:00:00  PM,23.966,,,,
188,06/30/12 09:30:00  PM,23.966,,,,
189,06/30/12 10:00:00  PM,24.062,,,,
190,06/30/12 10:30:00  PM,24.062,,,,
191,06/30/12 11:00:00  PM,23.966,,,,
192,06/30/12 11:30:00  PM,23.966,,,,
193,07/01/12 12:00:00  AM,23.869,,,,
194,07/01/12 12:30:00  AM,23.677,,,,
195,07/01/12 01:00:00  AM,23.581,,,,
196,07/01/12 01:30:00  AM,23.484,,,,
197,07/01/12 02:00:00  AM,23.484,,,,
198,07/01/12 02:30:00  AM,23.388,,,,
199,07/01/12 03:00:00  AM,23.388,,,,
200,07/01/12 03:30:00  AM,23.292,,,,
201,07/01/12 04:00:00  AM,23.292,,,,
202,07/01/12 04:30:00  AM,23.196,,,,
203,07/01/12 05:00:00  AM,23.100,,,,
204,07/01/12 05:30:00  AM,23.004,,,,
205,07/01/12 06:00:00  AM,22.908,,,,
206,07/01/12 06:30:00  AM,22.812,,,,
207,07/01/12 07:00:00  AM,22.812,,,,
208,07/01/12 07:30:00  AM,22.717,,,,
209,07/01/12 08:00:00  AM,22.812,,,,
210,07/01/12 08:30:00  AM,22.717,,,,
211,07/01/12 09:00:00  AM,22.908,,,,
212,07/01/12 09:30:00  AM,23.004,,,,
213,07/01/12 10:00:00  AM,23.004,,,,
214,07/01/12 10:30:00  AM,23.100,,,,
215,07/01/12 11:00:00  AM,23.196,,,,
216,07/01/12 11:30:00  AM,23.100,,,,
217,07/01/12 12:00:00  PM,23.004,,,,
218,07/01/12 12:30:00  PM,23.004,,,,
219,07/01/12 01:00:00  PM,23.100,,,,
220,07/01/12 01:30:00  PM,23.100,,,,
221,07/01/12 02:00:00  PM,23.292,,,,
222,07/01/12 02:30:00  PM,23.773,,,,
223,07/01/12 03:00:00  PM,23.773,,,,
224,07/01/12 03:30:00  PM,23.966,,,,
225,07/01/12 04:00:00  PM,24.158,,,,
226,07/01/12 04:30:00  PM,24.255,,,,
227,07/01/12 05:00:00  PM,24.255,,,,
228,07/01/12 05:30:00  PM,23.869,,,,
229,07/01/12 06:00:00  PM,24.158,,,,
230,07/01/12 06:30:00  PM,23.773,,,,
231,07/01/12 07:00:00  PM,23.773,,,,
232,07/01/12 07:30:00  PM,23.677,,,,
233,07/01/12 08:00:00  PM,23.677,,,,
