"Plot Title: ela_meso_dockleft "
"#","Time, GMT-04:00","Temp, °C()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,06/27/12 12:00:00  AM,22.333,,,,
2,06/27/12 12:30:00  AM,22.238,,,,
3,06/27/12 01:00:00  AM,22.238,,,,
4,06/27/12 01:30:00  AM,22.142,,,,
5,06/27/12 02:00:00  AM,22.142,,,,
6,06/27/12 02:30:00  AM,22.046,,,,
7,06/27/12 03:00:00  AM,22.046,,,,
8,06/27/12 03:30:00  AM,21.951,,,,
9,06/27/12 04:00:00  AM,21.951,,,,
10,06/27/12 04:30:00  AM,21.855,,,,
11,06/27/12 05:00:00  AM,21.760,,,,
12,06/27/12 05:30:00  AM,21.760,,,,
13,06/27/12 06:00:00  AM,21.664,,,,
14,06/27/12 06:30:00  AM,21.569,,,,
15,06/27/12 07:00:00  AM,21.569,,,,
16,06/27/12 07:30:00  AM,21.569,,,,
17,06/27/12 08:00:00  AM,21.569,,,,
18,06/27/12 08:30:00  AM,21.569,,,,
19,06/27/12 09:00:00  AM,21.569,,,,
20,06/27/12 09:30:00  AM,21.569,,,,
21,06/27/12 10:00:00  AM,21.664,,,,
22,06/27/12 10:30:00  AM,21.760,,,,
23,06/27/12 11:00:00  AM,21.855,,,,
24,06/27/12 11:30:00  AM,21.951,,,,
25,06/27/12 12:00:00  PM,21.855,,,,
26,06/27/12 12:30:00  PM,21.951,,,,
27,06/27/12 01:00:00  PM,22.046,,,,
28,06/27/12 01:30:00  PM,22.142,,,,
29,06/27/12 02:00:00  PM,22.525,,,,
30,06/27/12 02:30:00  PM,22.717,,,,
31,06/27/12 03:00:00  PM,23.196,,,,
32,06/27/12 03:30:00  PM,23.292,,,,
33,06/27/12 04:00:00  PM,23.581,,,,
34,06/27/12 04:30:00  PM,23.773,,,,
35,06/27/12 05:00:00  PM,24.255,,,,
36,06/27/12 05:30:00  PM,24.158,,,,
37,06/27/12 06:00:00  PM,24.351,,,,
38,06/27/12 06:30:00  PM,24.351,,,,
39,06/27/12 07:00:00  PM,24.351,,,,
40,06/27/12 07:30:00  PM,24.351,,,,
41,06/27/12 08:00:00  PM,24.351,,,,
42,06/27/12 08:30:00  PM,24.255,,,,
43,06/27/12 09:00:00  PM,24.255,,,,
44,06/27/12 09:30:00  PM,24.158,,,,
45,06/27/12 10:00:00  PM,24.158,,,,
46,06/27/12 10:30:00  PM,23.966,,,,
47,06/27/12 11:00:00  PM,23.966,,,,
