"Plot Title: ela_meso_dockright "
"#","Time, GMT-04:00","Temp, °C()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,06/27/12 12:00:00  AM,21.951,,,,
2,06/27/12 12:30:00  AM,21.951,,,,
3,06/27/12 01:00:00  AM,22.046,,,,
4,06/27/12 01:30:00  AM,22.046,,,,
5,06/27/12 02:00:00  AM,21.951,,,,
6,06/27/12 02:30:00  AM,21.951,,,,
7,06/27/12 03:00:00  AM,21.855,,,,
8,06/27/12 03:30:00  AM,21.855,,,,
9,06/27/12 04:00:00  AM,21.760,,,,
10,06/27/12 04:30:00  AM,21.664,,,,
11,06/27/12 05:00:00  AM,21.664,,,,
12,06/27/12 05:30:00  AM,21.569,,,,
13,06/27/12 06:00:00  AM,21.569,,,,
14,06/27/12 06:30:00  AM,21.473,,,,
15,06/27/12 07:00:00  AM,21.473,,,,
16,06/27/12 07:30:00  AM,21.473,,,,
17,06/27/12 08:00:00  AM,21.378,,,,
18,06/27/12 08:30:00  AM,21.378,,,,
19,06/27/12 09:00:00  AM,21.378,,,,
20,06/27/12 09:30:00  AM,21.378,,,,
21,06/27/12 10:00:00  AM,21.473,,,,
22,06/27/12 10:30:00  AM,21.473,,,,
23,06/27/12 11:00:00  AM,21.569,,,,
24,06/27/12 11:30:00  AM,21.569,,,,
25,06/27/12 12:00:00  PM,21.760,,,,
26,06/27/12 12:30:00  PM,21.855,,,,
27,06/27/12 01:00:00  PM,22.046,,,,
28,06/27/12 01:30:00  PM,22.142,,,,
29,06/27/12 02:00:00  PM,22.717,,,,
30,06/27/12 02:30:00  PM,22.908,,,,
31,06/27/12 03:00:00  PM,22.812,,,,
32,06/27/12 03:30:00  PM,22.717,,,,
33,06/27/12 04:00:00  PM,23.388,,,,
34,06/27/12 04:30:00  PM,23.773,,,,
35,06/27/12 05:00:00  PM,24.062,,,,
36,06/27/12 05:30:00  PM,24.062,,,,
37,06/27/12 06:00:00  PM,23.966,,,,
38,06/27/12 06:30:00  PM,24.062,,,,
39,06/27/12 07:00:00  PM,24.062,,,,
40,06/27/12 07:30:00  PM,24.158,,,,
41,06/27/12 08:00:00  PM,24.062,,,,
42,06/27/12 08:30:00  PM,24.062,,,,
43,06/27/12 09:00:00  PM,24.062,,,,
44,06/27/12 09:30:00  PM,23.773,,,,
45,06/27/12 10:00:00  PM,23.196,,,,
46,06/27/12 10:30:00  PM,22.238,,,,
47,06/27/12 11:00:00  PM,22.142,,,,
48,06/27/12 11:30:00  PM,22.142,,,,
49,06/28/12 12:00:00  AM,22.238,,,,
50,06/28/12 12:30:00  AM,23.292,,,,
51,06/28/12 01:00:00  AM,23.581,,,,
52,06/28/12 01:30:00  AM,23.677,,,,
53,06/28/12 02:00:00  AM,23.292,,,,
54,06/28/12 02:30:00  AM,23.484,,,,
