"Plot Title: jenn 2 "
"#","Time, GMT-04:00","Temp, °C()","Intensity, Lux()","Coupler Detached()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,07/27/12 10:35:29  AM,24.255,0.0,,,,,
2,07/27/12 10:35:31  AM,,,Logged,,,,
3,07/27/12 11:05:29  AM,23.484,215.3,,,,,
4,07/27/12 11:35:29  AM,27.764,104711.8,,,,,
5,07/27/12 12:05:29  PM,28.060,104711.8,,,,,
6,07/27/12 12:35:29  PM,29.152,115734.1,,,,,
7,07/27/12 01:05:29  PM,30.356,126756.4,,,,,
8,07/27/12 01:35:29  PM,26.977,110223.0,,,,,
9,07/27/12 02:05:29  PM,28.456,66133.8,,,,,
10,07/27/12 02:35:29  PM,30.054,115734.1,,,,,
11,07/27/12 03:05:29  PM,28.357,17222.3,,,,,
12,07/27/12 03:35:29  PM,31.268,22044.6,,,,,
13,07/27/12 04:05:29  PM,31.778,137778.7,,,,,
14,07/27/12 04:35:29  PM,29.953,121245.2,,,,,
15,07/27/12 05:05:29  PM,26.781,13777.9,,,,,
16,07/27/12 05:35:29  PM,33.848,88178.4,,,,,
17,07/27/12 06:05:29  PM,31.268,79911.6,,,,,
18,07/27/12 06:35:29  PM,33.848,55111.5,,,,,
19,07/27/12 07:05:29  PM,31.268,39955.8,,,,,
20,07/27/12 07:35:29  PM,25.708,7233.4,,,,,
21,07/27/12 08:05:29  PM,23.581,3616.7,,,,,
22,07/27/12 08:35:29  PM,22.525,2755.6,,,,,
23,07/27/12 09:05:29  PM,21.091,1980.6,,,,,
24,07/27/12 09:35:29  PM,20.043,1108.7,,,,,
25,07/27/12 10:05:29  PM,18.521,236.8,,,,,
26,07/27/12 10:35:29  PM,17.475,0.0,,,,,
27,07/27/12 11:05:29  PM,16.903,0.0,,,,,
28,07/27/12 11:35:29  PM,16.427,0.0,,,,,
29,07/28/12 12:05:29  AM,16.237,0.0,,,,,
30,07/28/12 12:35:29  AM,15.569,0.0,,,,,
31,07/28/12 01:05:29  AM,15.378,0.0,,,,,
32,07/28/12 01:35:29  AM,14.709,0.0,,,,,
33,07/28/12 02:05:29  AM,14.421,0.0,,,,,
34,07/28/12 02:35:29  AM,14.421,0.0,,,,,
35,07/28/12 03:05:29  AM,14.325,0.0,,,,,
36,07/28/12 03:35:29  AM,14.134,0.0,,,,,
37,07/28/12 04:05:29  AM,13.750,0.0,,,,,
38,07/28/12 04:35:29  AM,13.654,0.0,,,,,
39,07/28/12 05:05:29  AM,13.461,0.0,,,,,
40,07/28/12 05:35:29  AM,13.269,0.0,,,,,
41,07/28/12 06:05:29  AM,12.980,0.0,,,,,
42,07/28/12 06:35:29  AM,12.980,161.5,,,,,
43,07/28/12 07:05:29  AM,13.269,1033.3,,,,,
44,07/28/12 07:35:29  AM,14.038,1808.3,,,,,
45,07/28/12 08:05:29  AM,14.996,2152.8,,,,,
46,07/28/12 08:35:29  AM,16.046,2755.6,,,,,
47,07/28/12 09:05:29  AM,17.665,3788.9,,,,,
48,07/28/12 09:35:29  AM,20.329,23422.4,,,,,
49,07/28/12 10:05:29  AM,23.484,28933.5,,,,,
50,07/28/12 10:35:29  AM,25.805,49600.3,,,,,
51,07/28/12 11:05:29  AM,28.357,74400.5,,,,,
52,07/28/12 11:35:29  AM,29.352,79911.6,,,,,
53,07/28/12 12:05:29  PM,31.472,121245.2,,,,,
54,07/28/12 12:35:29  PM,31.676,115734.1,,,,,
55,07/28/12 01:05:29  PM,32.086,137778.7,,,,,
56,07/28/12 01:35:29  PM,32.394,93689.5,,,,,
57,07/28/12 02:05:29  PM,30.659,88178.4,,,,,
58,07/28/12 02:35:29  PM,29.853,121245.2,,,,,
59,07/28/12 03:05:29  PM,32.704,49600.3,,,,,
60,07/28/12 03:35:29  PM,34.903,126756.4,,,,,
61,07/28/12 04:05:29  PM,31.064,63378.2,,,,,
62,07/28/12 04:35:29  PM,31.676,88178.4,,,,,
63,07/28/12 05:05:29  PM,33.430,99200.7,,,,,
64,07/28/12 05:35:29  PM,32.497,57867.0,,,,,
65,07/28/12 06:05:29  PM,32.600,57867.0,,,,,
66,07/28/12 06:35:29  PM,32.188,44089.2,,,,,
67,07/28/12 07:05:29  PM,31.268,22044.6,,,,,
68,07/28/12 07:35:29  PM,25.902,8266.7,,,,,
69,07/28/12 08:05:29  PM,25.805,7233.4,,,,,
70,07/28/12 08:35:29  PM,24.835,5511.1,,,,,
71,07/28/12 09:05:29  PM,23.869,4133.4,,,,,
72,07/28/12 09:35:29  PM,23.100,1808.3,,,,,
73,07/28/12 10:05:29  PM,21.855,183.0,,,,,
74,07/28/12 10:35:29  PM,20.043,0.0,,,,,
75,07/28/12 11:05:29  PM,19.187,0.0,,,,,
76,07/28/12 11:35:29  PM,18.711,0.0,,,,,
77,07/29/12 12:05:29  AM,18.426,0.0,,,,,
78,07/29/12 12:35:29  AM,18.236,0.0,,,,,
79,07/29/12 01:05:29  AM,17.950,0.0,,,,,
80,07/29/12 01:35:29  AM,17.760,0.0,,,,,
81,07/29/12 02:05:29  AM,17.855,0.0,,,,,
82,07/29/12 02:35:29  AM,18.140,0.0,,,,,
83,07/29/12 03:05:29  AM,17.475,0.0,,,,,
84,07/29/12 03:35:29  AM,18.711,0.0,,,,,
85,07/29/12 04:05:29  AM,17.475,0.0,,,,,
86,07/29/12 04:35:29  AM,17.189,0.0,,,,,
87,07/29/12 05:05:29  AM,17.189,0.0,,,,,
88,07/29/12 05:35:29  AM,17.094,0.0,,,,,
89,07/29/12 06:05:29  AM,17.094,0.0,,,,,
90,07/29/12 06:35:29  AM,17.284,96.9,,,,,
91,07/29/12 07:05:29  AM,17.094,1248.6,,,,,
92,07/29/12 07:35:29  AM,18.711,3272.2,,,,,
93,07/29/12 08:05:29  AM,19.377,3100.0,,,,,
94,07/29/12 08:35:29  AM,20.710,10677.8,,,,,
95,07/29/12 09:05:29  AM,21.760,9644.5,,,,,
96,07/29/12 09:35:29  AM,24.835,37200.2,,,,,
97,07/29/12 10:05:29  AM,24.351,31689.1,,,,,
98,07/29/12 10:35:29  AM,28.159,82667.2,,,,,
99,07/29/12 11:05:29  AM,26.977,46844.8,,,,,
100,07/29/12 11:35:29  AM,26.879,30311.3,,,,,
101,07/29/12 12:05:29  PM,27.961,34444.7,,,,,
102,07/29/12 12:35:29  PM,32.497,132267.5,,,,,
103,07/29/12 01:05:29  PM,32.497,148801.0,,,,,
104,07/29/12 01:35:29  PM,33.430,148801.0,,,,,
105,07/29/12 02:05:29  PM,32.704,143289.8,,,,,
106,07/29/12 02:35:29  PM,32.600,88178.4,,,,,
107,07/29/12 03:05:29  PM,34.903,110223.0,,,,,
108,07/29/12 03:35:29  PM,36.295,110223.0,,,,,
109,07/29/12 04:05:29  PM,36.511,104711.8,,,,,
110,07/29/12 04:35:29  PM,37.494,93689.5,,,,,
111,07/29/12 05:05:29  PM,36.620,88178.4,,,,,
112,07/29/12 05:35:29  PM,33.639,57867.0,,,,,
113,07/29/12 06:05:29  PM,35.222,46844.8,,,,,
114,07/29/12 06:35:29  PM,34.268,28933.5,,,,,
115,07/29/12 07:05:29  PM,34.268,20666.8,,,,,
116,07/29/12 07:35:29  PM,29.853,5166.7,,,,,
117,07/29/12 08:05:29  PM,28.258,3272.2,,,,,
118,07/29/12 08:35:29  PM,27.567,3961.1,,,,,
119,07/29/12 09:05:29  PM,26.585,2669.5,,,,,
120,07/29/12 09:35:29  PM,26.000,312.2,,,,,
121,07/29/12 10:05:29  PM,25.028,0.0,,,,,
122,07/29/12 10:35:29  PM,18.901,0.0,,,,,
123,07/29/12 11:05:29  PM,18.521,0.0,,,,,
124,07/29/12 11:35:29  PM,18.236,0.0,,,,,
125,07/30/12 12:05:29  AM,18.616,0.0,,,,,
126,07/30/12 12:35:29  AM,18.331,0.0,,,,,
127,07/30/12 01:05:29  AM,18.901,0.0,,,,,
128,07/30/12 01:35:29  AM,19.092,0.0,,,,,
129,07/30/12 02:05:29  AM,18.901,0.0,,,,,
130,07/30/12 02:35:29  AM,17.950,0.0,,,,,
131,07/30/12 03:05:29  AM,17.379,0.0,,,,,
