Run,Time,107Ag,115In
,,ppb,ppb
,,Blank    11/14/2014 2:25:01 PM,
1,09:52:41,0.003,100.644%
2,09:52:46,0.001,98.735%
3,09:52:50,-0.003,100.622%
x,,-0.000,100.000%
s,,0.003,1.096%
%RSD,,0.000,1.096
,,,
,,std 0.78    11/14/2014 9:55:19 AM,
1,09:55:19,0.731,100.095%
2,09:55:23,0.738,100.340%
3,09:55:27,0.728,102.036%
x,,0.732,100.824%
s,,0.005,1.057%
%RSD,,0.728,1.048
,,,
,,std 1.5    11/14/2014 9:57:56 AM,
1,09:57:56,1.488,99.943%
2,09:58:00,1.480,102.494%
3,09:58:04,1.476,101.518%
x,,1.481,101.318%
s,,0.006,1.287%
%RSD,,0.409,1.270
,,,
,,std 3.12    11/14/2014 10:00:33 AM,
1,10:00:33,3.053,97.347%
2,10:00:37,3.048,100.912%
3,10:00:41,3.055,101.167%
x,,3.052,99.809%
s,,0.004,2.136%
%RSD,,0.122,2.140
,,,
,,std 6.25    11/14/2014 10:03:10 AM,
1,10:03:10,6.127,100.894%
2,10:03:14,6.102,100.571%
3,10:03:19,6.175,100.752%
x,,6.134,100.739%
s,,0.037,0.161%
%RSD,,0.601,0.160
,,,
,,std 12.5    11/14/2014 10:05:49 AM,
1,10:05:49,12.310,100.120%
2,10:05:53,12.340,101.693%
3,10:05:57,12.360,101.471%
x,,12.340,101.095%
s,,0.023,0.851%
%RSD,,0.187,0.842
,,,
,,std 25    11/14/2014 10:08:27 AM,
1,10:08:27,25.010,97.815%
2,10:08:31,25.290,101.459%
3,10:08:35,25.270,98.205%
x,,25.190,99.160%
s,,0.156,2.001%
%RSD,,0.618,2.018
,,,
,,std 50    11/14/2014 10:11:05 AM,
1,10:11:05,51.950,101.399%
2,10:11:09,52.040,102.262%
3,10:11:13,51.270,103.870%
x,,51.750,102.510%
s,,0.421,1.254%
%RSD,,0.813,1.223
,,,
,,std 100    11/14/2014 10:13:44 AM,
1,10:13:44,99.500,101.168%
2,10:13:48,99.310,100.640%
3,10:13:52,99.330,99.163%
x,,99.380,100.324%
s,,0.105,1.039%
%RSD,,0.106,1.036
,,,
,,std 200    11/14/2014 10:16:23 AM,
1,10:16:23,200.400,100.752%
2,10:16:27,199.900,99.852%
3,10:16:31,199.300,100.969%
x,,199.900,100.524%
s,,0.518,0.592%
%RSD,,0.259,0.589
,,,
