Run,Time,107Ag,115In
,,J33    11/14/2014 12:01:56 PM,
1,09:52:41,1156.874,658479.010
2,09:52:46,1045.660,645989.770
3,09:52:50,880.843,658333.840
x,,1027.792,654267.540
s,,138.880,7169.127
%RSD,,13.512,1.096
,,,
,,std 0.78    11/14/2014 9:55:19 AM,
1,09:55:19,33598.774,654891.670
2,09:55:23,34012.307,656488.930
3,09:55:27,34117.500,667589.630
x,,33909.527,659656.740
s,,274.212,6916.342
%RSD,,0.809,1.048
,,,
,,std 1.5    11/14/2014 9:57:56 AM,
1,09:57:56,67263.927,653894.810
2,09:58:00,68598.645,670584.020
3,09:58:04,67791.020,664200.800
x,,67884.531,662893.210
s,,672.255,8421.090
%RSD,,0.990,1.270
,,,
,,std 3.12    11/14/2014 10:00:33 AM,
1,10:00:33,133341.170,636911.160
2,10:00:37,138009.270,660234.960
3,10:00:41,138686.660,661901.870
x,,136679.030,653016.000
s,,2910.447,13972.078
%RSD,,2.129,2.140
,,,
,,std 6.25    11/14/2014 10:03:10 AM,
1,10:03:10,276325.500,660113.820
2,10:03:14,274332.890,658006.580
3,10:03:19,278082.680,659190.290
x,,276247.020,659103.560
s,,1876.124,1056.296
%RSD,,0.679,0.160
,,,
,,std 12.5    11/14/2014 10:05:49 AM,
1,10:05:49,550023.980,655051.390
2,10:05:53,559778.820,665343.170
3,10:05:57,559527.210,663892.240
x,,556443.340,661428.930
s,,5560.749,5570.558
%RSD,,0.999,0.842
,,,
,,std 25    11/14/2014 10:08:27 AM,
1,10:08:27,1090582.400,639972.970
2,10:08:31,1143719.300,663814.030
3,10:08:35,1106390.000,642524.670
x,,1113563.900,648770.560
s,,27285.178,13090.351
%RSD,,2.450,2.018
,,,
,,std 50    11/14/2014 10:11:05 AM,
1,10:11:05,2346973.600,663419.530
2,10:11:09,2370842.700,669068.640
3,10:11:13,2372597.000,679584.960
x,,2363471.100,670691.040
s,,14314.143,8203.924
%RSD,,0.606,1.223
,,,
,,std 100    11/14/2014 10:13:44 AM,
1,10:13:44,4483847.900,661907.030
2,10:13:48,4451953.900,658456.680
