Plot Title: ELA #1 ,,Lake 227,hobo in on 03 June 12,,,
#,"Time, GMT-04:00","Temp, °C()",Coupler Attached(),Host Connected(),Stopped(),End Of File()
1,6/2/2012 23:00,23.581,,,,
2,6/2/2012 23:30,23.484,,,,
3,6/3/2012 0:00,23.388,,,,
4,6/3/2012 0:30,23.388,,,,
5,6/3/2012 1:00,23.292,,,,
6,6/3/2012 1:30,23.292,,,,
7,6/3/2012 2:00,23.292,,,,
8,6/3/2012 2:30,23.292,,,,
9,6/3/2012 3:00,23.196,,,,
10,6/3/2012 3:30,23.196,,,,
11,6/3/2012 4:00,23.196,,,,
12,6/3/2012 4:30,23.196,,,,
13,6/3/2012 5:00,23.196,,,,
14,6/3/2012 5:30,23.196,,,,
15,6/3/2012 6:00,23.196,,,,
16,6/3/2012 6:30,23.196,,,,
17,6/3/2012 7:00,23.196,,,,
18,6/3/2012 7:30,23.196,,,,
19,6/3/2012 8:00,23.196,,,,
20,6/3/2012 8:30,23.196,,,,
21,6/3/2012 9:00,23.292,,,,
22,6/3/2012 9:30,20.805,,,,
23,6/3/2012 10:00,18.711,,,,
24,6/3/2012 10:30,18.711,,,,
25,6/3/2012 11:00,18.711,,,,
26,6/3/2012 11:30,18.901,,,,
27,6/3/2012 12:00,18.806,,,,
28,6/3/2012 12:30,19.092,,,,
29,6/3/2012 13:00,18.901,,,,
30,6/3/2012 13:30,18.521,,,,
31,6/3/2012 14:00,18.806,,,,
32,6/3/2012 14:30,19.187,,,,
33,6/3/2012 15:00,19.282,,,,
34,6/3/2012 15:30,19.092,,,,
35,6/3/2012 16:00,19.377,,,,
36,6/3/2012 16:30,19.377,,,,
37,6/3/2012 17:00,19.282,,,,
38,6/3/2012 17:30,18.996,,,,
39,6/3/2012 18:00,19.187,,,,
40,6/3/2012 18:30,18.806,,,,
41,6/3/2012 19:00,19.282,,,,
42,6/3/2012 19:30,18.901,,,,
43,6/3/2012 20:00,19.092,,,,
44,6/3/2012 20:30,19.472,,,,
45,6/3/2012 21:00,19.377,,,,
46,6/3/2012 21:30,19.187,,,,
47,6/3/2012 22:00,18.996,,,,
48,6/3/2012 22:30,19.187,,,,
49,6/3/2012 23:00,19.377,,,,
50,6/3/2012 23:30,19.092,,,,
51,6/4/2012 0:00,19.092,,,,
52,6/4/2012 0:30,19.282,,,,
53,6/4/2012 1:00,19.092,,,,
54,6/4/2012 1:30,19.092,,,,
55,6/4/2012 2:00,18.996,,,,
56,6/4/2012 2:30,19.092,,,,
57,6/4/2012 3:00,19.282,,,,
58,6/4/2012 3:30,18.996,,,,
59,6/4/2012 4:00,19.092,,,,
60,6/4/2012 4:30,19.377,,,,
61,6/4/2012 5:00,19.282,,,,
62,6/4/2012 5:30,19.377,,,,
63,6/4/2012 6:00,19.472,,,,
64,6/4/2012 6:30,19.472,,,,
65,6/4/2012 7:00,19.472,,,,
66,6/4/2012 7:30,19.187,,,,
67,6/4/2012 8:00,19.187,,,,
68,6/4/2012 8:30,19.377,,,,
69,6/4/2012 9:00,19.282,,,,
70,6/4/2012 9:30,19.187,,,,
71,6/4/2012 10:00,19.282,,,,
