Plot Title: ELA #2 ,,,L224,hobo in on 03 june 12,,
#,"Time, GMT-04:00","Temp, °C()",Coupler Attached(),Host Connected(),Stopped(),End Of File()
1,6/2/2012 23:00,23.677,,,,
2,6/2/2012 23:30,23.581,,,,
3,6/3/2012 0:00,23.484,,,,
4,6/3/2012 0:30,23.388,,,,
5,6/3/2012 1:00,23.292,,,,
6,6/3/2012 1:30,23.292,,,,
7,6/3/2012 2:00,23.292,,,,
8,6/3/2012 2:30,23.196,,,,
9,6/3/2012 3:00,23.196,,,,
10,6/3/2012 3:30,23.196,,,,
11,6/3/2012 4:00,23.196,,,,
12,6/3/2012 4:30,23.1,,,,
13,6/3/2012 5:00,23.1,,,,
14,6/3/2012 5:30,23.196,,,,
15,6/3/2012 6:00,23.1,,,,
16,6/3/2012 6:30,23.1,,,,
17,6/3/2012 7:00,23.1,,,,
18,6/3/2012 7:30,23.1,,,,
19,6/3/2012 8:00,23.1,,,,
20,6/3/2012 8:30,23.196,,,,
21,6/3/2012 9:00,23.1,,,,
22,6/3/2012 9:30,20.424,,,,
23,6/3/2012 10:00,23.388,,,,
24,6/3/2012 10:30,17.189,,,,
25,6/3/2012 11:00,17.094,,,,
26,6/3/2012 11:30,17.475,,,,
27,6/3/2012 12:00,18.045,,,,
28,6/3/2012 12:30,18.14,,,,
29,6/3/2012 13:00,18.616,,,,
30,6/3/2012 13:30,17.379,,,,
31,6/3/2012 14:00,16.999,,,,
32,6/3/2012 14:30,17.665,,,,
33,6/3/2012 15:00,17.855,,,,
34,6/3/2012 15:30,17.76,,,,
35,6/3/2012 16:00,17.76,,,,
36,6/3/2012 16:30,17.76,,,,
37,6/3/2012 17:00,17.855,,,,
38,6/3/2012 17:30,17.76,,,,
39,6/3/2012 18:00,17.95,,,,
40,6/3/2012 18:30,17.76,,,,
41,6/3/2012 19:00,17.76,,,,
42,6/3/2012 19:30,17.76,,,,
43,6/3/2012 20:00,17.76,,,,
44,6/3/2012 20:30,17.855,,,,
45,6/3/2012 21:00,17.855,,,,
46,6/3/2012 21:30,17.76,,,,
47,6/3/2012 22:00,17.57,,,,
48,6/3/2012 22:30,17.57,,,,
49,6/3/2012 23:00,17.57,,,,
50,6/3/2012 23:30,17.475,,,,
51,6/4/2012 0:00,17.475,,,,
52,6/4/2012 0:30,17.475,,,,
53,6/4/2012 1:00,17.379,,,,
54,6/4/2012 1:30,17.379,,,,
55,6/4/2012 2:00,17.379,,,,
56,6/4/2012 2:30,17.284,,,,
57,6/4/2012 3:00,17.284,,,,
58,6/4/2012 3:30,17.284,,,,
59,6/4/2012 4:00,17.284,,,,
60,6/4/2012 4:30,17.284,,,,
61,6/4/2012 5:00,17.284,,,,
62,6/4/2012 5:30,17.189,,,,
63,6/4/2012 6:00,17.189,,,,
64,6/4/2012 6:30,17.094,,,,
65,6/4/2012 7:00,17.189,,,,
66,6/4/2012 7:30,17.189,,,,
67,6/4/2012 8:00,17.379,,,,
68,6/4/2012 8:30,17.284,,,,
69,6/4/2012 9:00,17.76,,,,
70,6/4/2012 9:30,17.76,,,,
71,6/4/2012 10:00,17.284,,,,
72,6/4/2012 10:30,18.14,,,,
73,6/4/2012 11:00,17.57,,,,
74,6/4/2012 11:30,18.236,,,,
75,6/4/2012 12:00,18.521,,,,
76,6/4/2012 12:30,18.711,,,,
77,6/4/2012 13:00,18.996,,,,
78,6/4/2012 13:30,19.092,,,,
79,6/4/2012 14:00,19.187,,,,
80,6/4/2012 14:30,18.996,,,,
