Plot Title: ELA #3 ,,,L222,Hobo in on 03 june 12,,
#,"Time, GMT-04:00","Temp, °C()",Coupler Attached(),Host Connected(),Stopped(),End Of File()
1,6/2/2012 23:00,23.388,,,,
2,6/2/2012 23:30,23.292,,,,
3,6/3/2012 0:00,23.292,,,,
4,6/3/2012 0:30,23.196,,,,
5,6/3/2012 1:00,23.196,,,,
6,6/3/2012 1:30,23.1,,,,
7,6/3/2012 2:00,23.196,,,,
8,6/3/2012 2:30,23.196,,,,
9,6/3/2012 3:00,23.196,,,,
10,6/3/2012 3:30,23.196,,,,
11,6/3/2012 4:00,23.196,,,,
12,6/3/2012 4:30,23.196,,,,
13,6/3/2012 5:00,23.196,,,,
14,6/3/2012 5:30,23.196,,,,
15,6/3/2012 6:00,23.196,,,,
16,6/3/2012 6:30,23.196,,,,
17,6/3/2012 7:00,23.196,,,,
18,6/3/2012 7:30,23.196,,,,
19,6/3/2012 8:00,23.196,,,,
20,6/3/2012 8:30,23.292,,,,
21,6/3/2012 9:00,23.196,,,,
22,6/3/2012 9:30,19.948,,,,
23,6/3/2012 10:00,20.901,,,,
24,6/3/2012 10:30,26,,,,
25,6/3/2012 11:00,26.585,,,,
26,6/3/2012 11:30,18.806,,,,
27,6/3/2012 12:00,18.996,,,,
28,6/3/2012 12:30,19.282,,,,
29,6/3/2012 13:00,19.282,,,,
30,6/3/2012 13:30,19.092,,,,
31,6/3/2012 14:00,19.187,,,,
32,6/3/2012 14:30,19.853,,,,
33,6/3/2012 15:00,19.758,,,,
34,6/3/2012 15:30,19.948,,,,
35,6/3/2012 16:00,19.758,,,,
36,6/3/2012 16:30,19.948,,,,
37,6/3/2012 17:00,19.948,,,,
38,6/3/2012 17:30,18.806,,,,
39,6/3/2012 18:00,18.901,,,,
40,6/3/2012 18:30,19.472,,,,
41,6/3/2012 19:00,20.329,,,,
42,6/3/2012 19:30,20.234,,,,
43,6/3/2012 20:00,20.138,,,,
44,6/3/2012 20:30,20.138,,,,
45,6/3/2012 21:00,20.138,,,,
