"Plot Title: ELA #5 "
"#","Time, GMT-04:00","Temp, °C()","Coupler Attached()","Host Connected()","Stopped()","End Of File()"
1,06/02/12 11:00:00  PM,23.677,,,,
2,06/02/12 11:30:00  PM,23.581,,,,
3,06/03/12 12:00:00  AM,23.484,,,,
4,06/03/12 12:30:00  AM,23.484,,,,
5,06/03/12 01:00:00  AM,23.388,,,,
6,06/03/12 01:30:00  AM,23.292,,,,
7,06/03/12 02:00:00  AM,23.292,,,,
8,06/03/12 02:30:00  AM,23.292,,,,
9,06/03/12 03:00:00  AM,23.292,,,,
10,06/03/12 03:30:00  AM,23.196,,,,
11,06/03/12 04:00:00  AM,23.196,,,,
12,06/03/12 04:30:00  AM,23.196,,,,
13,06/03/12 05:00:00  AM,23.196,,,,
14,06/03/12 05:30:00  AM,23.196,,,,
15,06/03/12 06:00:00  AM,23.196,,,,
16,06/03/12 06:30:00  AM,23.196,,,,
17,06/03/12 07:00:00  AM,23.196,,,,
18,06/03/12 07:30:00  AM,23.196,,,,
19,06/03/12 08:00:00  AM,23.196,,,,
20,06/03/12 08:30:00  AM,23.196,,,,
21,06/03/12 09:00:00  AM,23.388,,,,
22,06/03/12 09:30:00  AM,20.710,,,,
23,06/03/12 10:00:00  AM,20.615,,,,
24,06/03/12 10:30:00  AM,26.292,,,,
25,06/03/12 11:00:00  AM,27.764,,,,
26,06/03/12 11:30:00  AM,25.805,,,,
27,06/03/12 12:00:00  PM,26.488,,,,
28,06/03/12 12:30:00  PM,26.097,,,,
29,06/03/12 01:00:00  PM,24.062,,,,
30,06/03/12 01:30:00  PM,23.100,,,,
31,06/03/12 02:00:00  PM,22.717,,,,
32,06/03/12 02:30:00  PM,22.238,,,,
33,06/03/12 03:00:00  PM,22.046,,,,
34,06/03/12 03:30:00  PM,21.951,,,,
35,06/03/12 04:00:00  PM,21.855,,,,
36,06/03/12 04:30:00  PM,21.855,,,,
37,06/03/12 05:00:00  PM,21.855,,,,
38,06/03/12 05:30:00  PM,21.760,,,,
39,06/03/12 06:00:00  PM,21.760,,,,
40,06/03/12 06:30:00  PM,21.569,,,,
41,06/03/12 07:00:00  PM,21.473,,,,
42,06/03/12 07:30:00  PM,21.473,,,,
43,06/03/12 08:00:00  PM,21.569,,,,
44,06/03/12 08:30:00  PM,21.760,,,,
45,06/03/12 09:00:00  PM,21.855,,,,
46,06/03/12 09:30:00  PM,21.951,,,,
47,06/03/12 10:00:00  PM,21.951,,,,
48,06/03/12 10:30:00  PM,22.046,,,,
49,06/03/12 11:00:00  PM,21.951,,,,
50,06/03/12 11:30:00  PM,22.046,,,,
51,06/04/12 12:00:00  AM,22.046,,,,
52,06/04/12 12:30:00  AM,22.142,,,,
53,06/04/12 01:00:00  AM,22.046,,,,
54,06/04/12 01:30:00  AM,22.046,,,,
55,06/04/12 02:00:00  AM,22.046,,,,
56,06/04/12 02:30:00  AM,22.046,,,,
57,06/04/12 03:00:00  AM,21.951,,,,
58,06/04/12 03:30:00  AM,21.951,,,,
59,06/04/12 04:00:00  AM,22.046,,,,
60,06/04/12 04:30:00  AM,21.951,,,,
61,06/04/12 05:00:00  AM,21.951,,,,
62,06/04/12 05:30:00  AM,21.951,,,,
63,06/04/12 06:00:00  AM,21.951,,,,
64,06/04/12 06:30:00  AM,21.951,,,,
65,06/04/12 07:00:00  AM,21.951,,,,
66,06/04/12 07:30:00  AM,22.046,,,,
67,06/04/12 08:00:00  AM,22.046,,,,
68,06/04/12 08:30:00  AM,22.142,,,,
69,06/04/12 09:00:00  AM,22.238,,,,
70,06/04/12 09:30:00  AM,22.621,,,,
71,06/04/12 10:00:00  AM,22.717,,,,
72,06/04/12 10:30:00  AM,22.717,,,,
73,06/04/12 11:00:00  AM,22.908,,,,
74,06/04/12 11:30:00  AM,23.100,,,,
75,06/04/12 12:00:00  PM,23.100,,,,
76,06/04/12 12:30:00  PM,23.196,,,,
77,06/04/12 01:00:00  PM,23.388,,,,
78,06/04/12 01:30:00  PM,23.292,,,,
79,06/04/12 02:00:00  PM,23.484,,,,
80,06/04/12 02:30:00  PM,23.869,,,,
81,06/04/12 03:00:00  PM,24.062,,,,
82,06/04/12 03:30:00  PM,24.255,,,,
83,06/04/12 04:00:00  PM,24.351,,,,
84,06/04/12 04:30:00  PM,24.448,,,,
85,06/04/12 05:00:00  PM,24.641,,,,
86,06/04/12 05:30:00  PM,24.835,,,,
87,06/04/12 06:00:00  PM,24.545,,,,
88,06/04/12 06:30:00  PM,24.641,,,,
89,06/04/12 07:00:00  PM,24.835,,,,
90,06/04/12 07:30:00  PM,25.125,,,,
91,06/04/12 08:00:00  PM,25.222,,,,
92,06/04/12 08:30:00  PM,25.222,,,,
93,06/04/12 09:00:00  PM,25.125,,,,
94,06/04/12 09:30:00  PM,24.931,,,,
95,06/04/12 10:00:00  PM,24.835,,,,
96,06/04/12 10:30:00  PM,24.738,,,,
97,06/04/12 11:00:00  PM,24.545,,,,
98,06/04/12 11:30:00  PM,24.158,,,,
99,06/05/12 12:00:00  AM,23.773,,,,
100,06/05/12 12:30:00  AM,23.388,,,,
101,06/05/12 01:00:00  AM,23.100,,,,
102,06/05/12 01:30:00  AM,22.908,,,,
103,06/05/12 02:00:00  AM,22.812,,,,
104,06/05/12 02:30:00  AM,22.621,,,,
105,06/05/12 03:00:00  AM,22.525,,,,
106,06/05/12 03:30:00  AM,22.429,,,,
107,06/05/12 04:00:00  AM,22.238,,,,
108,06/05/12 04:30:00  AM,22.238,,,,
109,06/05/12 05:00:00  AM,22.142,,,,
110,06/05/12 05:30:00  AM,22.046,,,,
111,06/05/12 06:00:00  AM,22.142,,,,
112,06/05/12 06:30:00  AM,22.142,,,,
113,06/05/12 07:00:00  AM,22.046,,,,
114,06/05/12 07:30:00  AM,22.046,,,,
115,06/05/12 08:00:00  AM,22.046,,,,
116,06/05/12 08:30:00  AM,22.142,,,,
117,06/05/12 09:00:00  AM,22.238,,,,
118,06/05/12 09:30:00  AM,22.333,,,,
119,06/05/12 10:00:00  AM,22.333,,,,
120,06/05/12 10:30:00  AM,22.525,,,,
121,06/05/12 11:00:00  AM,23.100,,,,
122,06/05/12 11:30:00  AM,23.196,,,,
123,06/05/12 12:00:00  PM,23.388,,,,
124,06/05/12 12:30:00  PM,23.677,,,,
125,06/05/12 01:00:00  PM,24.062,,,,
126,06/05/12 01:30:00  PM,24.062,,,,
127,06/05/12 02:00:00  PM,24.351,,,,
128,06/05/12 02:30:00  PM,24.835,,,,
129,06/05/12 03:00:00  PM,25.028,,,,
130,06/05/12 03:30:00  PM,25.319,,,,
131,06/05/12 04:00:00  PM,25.513,,,,
132,06/05/12 04:30:00  PM,25.416,,,,
133,06/05/12 05:00:00  PM,25.222,,,,
134,06/05/12 05:30:00  PM,25.028,,,,
135,06/05/12 06:00:00  PM,24.931,,,,
136,06/05/12 06:30:00  PM,24.931,,,,
137,06/05/12 07:00:00  PM,25.028,,,,
138,06/05/12 07:30:00  PM,24.835,,,,
139,06/05/12 08:00:00  PM,24.641,,,,
140,06/05/12 08:30:00  PM,24.545,,,,
141,06/05/12 09:00:00  PM,24.448,,,,
142,06/05/12 09:30:00  PM,24.158,,,,
143,06/05/12 10:00:00  PM,23.869,,,,
144,06/05/12 10:30:00  PM,23.677,,,,
145,06/05/12 11:00:00  PM,23.196,,,,
146,06/05/12 11:30:00  PM,22.525,,,,
147,06/06/12 12:00:00  AM,22.142,,,,
148,06/06/12 12:30:00  AM,21.664,,,,
149,06/06/12 01:00:00  AM,21.282,,,,
150,06/06/12 01:30:00  AM,21.187,,,,
151,06/06/12 02:00:00  AM,21.091,,,,
152,06/06/12 02:30:00  AM,20.996,,,,
153,06/06/12 03:00:00  AM,20.901,,,,
154,06/06/12 03:30:00  AM,20.901,,,,
155,06/06/12 04:00:00  AM,20.996,,,,
156,06/06/12 04:30:00  AM,21.091,,,,
157,06/06/12 05:00:00  AM,20.996,,,,
158,06/06/12 05:30:00  AM,20.901,,,,
159,06/06/12 06:00:00  AM,20.901,,,,
160,06/06/12 06:30:00  AM,20.805,,,,
161,06/06/12 07:00:00  AM,20.901,,,,
162,06/06/12 07:30:00  AM,20.901,,,,
163,06/06/12 08:00:00  AM,20.805,,,,
164,06/06/12 08:30:00  AM,20.901,,,,
165,06/06/12 09:00:00  AM,21.187,,,,
166,06/06/12 09:30:00  AM,21.569,,,,
167,06/06/12 10:00:00  AM,21.760,,,,
168,06/06/12 10:30:00  AM,21.855,,,,
169,06/06/12 11:00:00  AM,22.142,,,,
