"Plot Title: ELA #7 "
"#","Time, GMT-04:00","Temp, °C()","Coupler Attached()","Coupler Detached()","Host Connected()","Stopped()","End Of File()"
1,06/02/12 11:00:00  PM,23.773,,,,,
2,06/02/12 11:30:00  PM,23.773,,,,,
3,06/03/12 12:00:00  AM,23.677,,,,,
4,06/03/12 12:30:00  AM,23.581,,,,,
5,06/03/12 01:00:00  AM,23.484,,,,,
6,06/03/12 01:30:00  AM,23.388,,,,,
7,06/03/12 02:00:00  AM,23.388,,,,,
8,06/03/12 02:30:00  AM,23.388,,,,,
9,06/03/12 03:00:00  AM,23.388,,,,,
10,06/03/12 03:30:00  AM,23.388,,,,,
11,06/03/12 04:00:00  AM,23.388,,,,,
12,06/03/12 04:30:00  AM,23.388,,,,,
13,06/03/12 05:00:00  AM,23.292,,,,,
14,06/03/12 05:30:00  AM,23.292,,,,,
15,06/03/12 06:00:00  AM,23.292,,,,,
16,06/03/12 06:30:00  AM,23.292,,,,,
17,06/03/12 07:00:00  AM,23.292,,,,,
18,06/03/12 07:30:00  AM,23.292,,,,,
19,06/03/12 08:00:00  AM,23.292,,,,,
20,06/03/12 08:30:00  AM,23.388,,,,,
21,06/03/12 09:00:00  AM,23.196,,,,,
22,06/03/12 09:30:00  AM,20.424,,,,,
23,06/03/12 10:00:00  AM,21.091,,,,,
24,06/03/12 10:30:00  AM,27.075,,,,,
25,06/03/12 11:00:00  AM,26.488,,,,,
26,06/03/12 11:30:00  AM,26.879,,,,,
27,06/03/12 12:00:00  PM,28.357,,,,,
28,06/03/12 12:30:00  PM,27.961,,,,,
29,06/03/12 01:00:00  PM,24.545,,,,,
30,06/03/12 01:30:00  PM,23.484,,,,,
31,06/03/12 02:00:00  PM,23.196,,,,,
32,06/03/12 02:30:00  PM,22.812,,,,,
33,06/03/12 03:00:00  PM,22.621,,,,,
34,06/03/12 03:30:00  PM,22.525,,,,,
35,06/03/12 04:00:00  PM,22.621,,,,,
36,06/03/12 04:30:00  PM,22.621,,,,,
37,06/03/12 05:00:00  PM,22.525,,,,,
38,06/03/12 05:30:00  PM,22.621,,,,,
39,06/03/12 06:00:00  PM,22.621,,,,,
40,06/03/12 06:30:00  PM,22.717,,,,,
41,06/03/12 07:00:00  PM,22.525,,,,,
42,06/03/12 07:30:00  PM,22.525,,,,,
43,06/03/12 08:00:00  PM,22.525,,,,,
44,06/03/12 08:30:00  PM,22.525,,,,,
