FishID,Sample type,Lake,Year,Sampling month,Sampling date,Temperature,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Wet.mass,Mass,Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),Tag excretion (µg),Tag.excretion.rate,TDN (µg/L),N excretion (µg),N.excretion.rate,TDP (µg/L),P excretion (µg),P.excretion.rate,DOC (mg/L),C excretion (mg),C excretion (mg C/ind/h),C.excretion.rate,Excreted.CN,Excreted.NP,Excreted.CP,Notes,Total.length.cm,Fork.length,ID,Species.code,Period,SiteClass,Treatment,massnorm.N.excr,massnorm.P.excr,massnorm.C.excr,massnorm.Tag.excr,massnorm.NP.excr,massnorm.CN.excr,massnorm.CP.excr,massnorm.NP.excr2,massnorm.NAg.excr,massnorm.PAg.excr
14L2221,F1,222,2014,8,13,17,NA,0.75,959,1028,29,80,75,4.908,1.227,2014-08-13,2016-03-25,2014-08-13,NA,10.18176103,1.2250255860000001,2.534535696,NA,NA,NA,12.08,6.09,12.6,NA,NA,NA,NA,NA,NA,NA,NA,8,75,NA,NA,During,Impact,1,NA,10.268948655256724,NA,2.0656362640586794,NA,NA,NA,NA,NA,44.32764556337107
14L2222,F2,222,2014,8,13,17,NA,0.75,959,1029,30,72,70,3.144,0.786,2014-08-13,2016-03-25,2014-08-13,NA,12.45709033,3.500354887,7.000709774,1124.027586,603.9915903,1207.983181,17.61,10.24,20.48,NA,NA,NA,NA,NA,130.6383345,NA,NA,7.2,70,NA,NA,During,Impact,1,1536.874276081425,26.0559796437659,NA,8.906755437659033,130.60644046805248,NA,NA,166.2065324427481,1318.7866918359618,26.084974128129502
14L2223,F3,222,2014,8,13,17,NA,0.75,1000,1030,30,80,76,4.73,1.1825,2014-08-13,2016-03-25,2014-08-13,NA,17.43472791,8.477992468,16.95598494,NA,NA,NA,16.54,9.44,18.88,NA,NA,NA,NA,NA,NA,NA,NA,8,76,NA,NA,During,Impact,1,NA,15.966173361522197,NA,14.33909931501057,NA,NA,NA,NA,NA,9.928451060930623
14L2224,F4,222,2014,8,13,17,NA,0.75,1000,1030,30,63,61,2.409,0.60225,2014-08-13,2016-03-25,2014-08-13,NA,15.93268435,6.9759489,13.9518978,NA,NA,NA,13.76,7.35,14.7,NA,NA,NA,NA,NA,NA,NA,NA,6.3,61,NA,NA,During,Impact,1,NA,24.408468244084684,NA,23.166289414694894,NA,NA,NA,NA,NA,9.394779253615233
14L2225,F5,222,2014,8,13,17,NA,0.75,1000,1030,30,77,72,3.773,0.94325,2014-08-13,2016-03-25,2014-08-13,NA,15.07349144,6.116755997,12.23351199,550.6801746,173.981032,347.962064,9.04,3.82,7.63,NA,NA,NA,NA,NA,100.9647735,NA,NA,7.7,72,NA,NA,During,Impact,1,368.8969668698648,8.089053803339517,NA,12.969532987012986,100.98131421082194,NA,NA,107.03925099390406,217.38846117612007,5.561294804164137
14L2226,F6,222,2014,8,13,17,NA,0.75,1001,1031,30,78,75,4.289,1.07225,2014-08-13,2016-03-25,2014-08-13,NA,14.10314774,5.146412292,10.29282458,NA,NA,NA,12.84,6.67,13.33,NA,NA,NA,NA,NA,NA,NA,NA,7.8,75,NA,NA,During,Impact,1,NA,12.4318022849149,NA,9.599276829097692,NA,NA,NA,NA,NA,11.547769588692114
14L2227,F7,222,2014,8,13,17,NA,0.75,1001,1032,31,75,72,3.491,0.87275,2014-08-13,2016-03-25,2014-08-13,NA,15.26190825,6.305172805,12.20356027,545.325764,169.9652241,328.9649498,19.7,11.81,22.85,NA,NA,NA,NA,NA,31.87309822,NA,NA,7.5,72,NA,NA,During,Impact,1,376.9291891148668,26.181609853910054,NA,13.982882005156116,31.878441524851517,NA,NA,36.52030732741335,206.02447652176602,16.695605940030593
14L2228,F8,222,2014,8,13,17,NA,0.75,1002,1032,30,62,60,2.254,0.5635,2014-08-13,2016-03-25,2014-08-13,NA,15.68209943,6.725363984,13.45072797,532.7301329,160.5185007,321.0370015,19.2,11.43,22.87,NA,NA,NA,NA,NA,31.08892261,NA,NA,6.2,60,NA,NA,During,Impact,1,569.7196122448979,40.58562555456965,NA,23.86996977817214,31.08297534667999,NA,NA,55.17111377107365,182.41688817945177,15.16082751219796
14L2229,F9,222,2014,8,13,17,NA,0.75,1003,1033,30,75,72,3.691,0.92275,2014-08-13,2016-03-25,2014-08-13,NA,14.36845577,5.411720322,10.82344064,486.2320394,125.6449306,251.2898611,8.86,3.68,7.35,NA,NA,NA,NA,NA,75.70442852,NA,NA,7.5,72,NA,NA,During,Impact,1,272.3271320509347,7.965321051205636,NA,11.729548241668924,75.70442851409136,NA,NA,82.04218750474126,177.44565464126893,6.055144771413464
14L22210,F10,222,2014,8,13,17,NA,0.75,1003,1034,31,66,64,2.226,0.5565,2014-08-13,2016-03-25,2014-08-13,NA,12.45850568,3.501770233,6.777619806,NA,NA,NA,17.04,9.82,19,NA,NA,NA,NA,NA,NA,NA,NA,6.6,64,NA,NA,During,Impact,1,NA,34.14195867026056,NA,12.179011331536387,NA,NA,NA,NA,NA,24.99648424018824
14L22211,F11,222,2014,8,13,17,NA,0.75,1004,1034,30,72,69,3.794,0.9485,2014-08-13,2016-03-25,2014-08-13,NA,12.86109,3.904354559,7.808709117,NA,NA,NA,17.58,10.21,20.43,NA,NA,NA,NA,NA,NA,NA,NA,7.2,69,NA,NA,During,Impact,1,NA,21.539272535582498,NA,8.232692795993675,NA,NA,NA,NA,NA,23.328759884705025
14L22212,F12,222,2014,8,13,17,NA,0.75,1004,1035,31,71,69,2.927,0.73175,2014-08-13,2016-03-25,2014-08-13,NA,13.32201569,4.365280245,8.448929506,NA,NA,NA,17.64,10.26,19.86,NA,NA,NA,NA,NA,NA,NA,NA,7.1,69,NA,NA,During,Impact,1,NA,27.140416809019474,NA,11.546196796720192,NA,NA,NA,NA,NA,20.959459997179906
14L22213,F13,222,2014,8,13,17,NA,0.75,1004,1036,32,80,77,4.931,1.23275,2014-08-13,2016-03-25,2014-08-13,NA,13.50996865,4.553233202,8.537312254,NA,NA,NA,8.2,3.19,5.97,NA,NA,NA,NA,NA,NA,NA,NA,8,77,NA,NA,During,Impact,1,NA,4.842831068748732,NA,6.925420607584668,NA,NA,NA,NA,NA,6.235276210619905
14L22214,F14,222,2014,8,13,17,NA,0.75,1005,1037,32,67,65,2.618,0.6545,2014-08-13,2016-03-25,2014-08-13,NA,14.5981282,5.641392755,10.57761142,NA,NA,NA,13.92,7.47,14.01,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,NA,NA,During,Impact,1,NA,21.405653170359052,NA,16.161361986249045,NA,NA,NA,NA,NA,11.81008594849668
14L22215,F15,222,2014,8,13,17,NA,0.75,1005,1037,32,70,66,2.924,0.731,2014-08-13,2016-03-25,2014-08-13,NA,14.46673702,5.510001574,10.33125295,NA,NA,NA,12.45,6.37,11.94,NA,NA,NA,NA,NA,NA,NA,NA,7,66,NA,NA,During,Impact,1,NA,16.333789329685363,NA,14.13304097127223,NA,NA,NA,NA,NA,10.305139223214935
14L22216,F16,222,2014,8,13,17,NA,0.75,1007,1038,31,71,68,3.352,0.838,2014-08-13,2016-03-25,2014-08-13,NA,13.39766808,4.440932629,8.595353476,NA,NA,NA,9.29,4,7.75,NA,NA,NA,NA,NA,NA,NA,NA,7.1,68,NA,NA,During,Impact,1,NA,9.24821002386635,NA,10.256985054892601,NA,NA,NA,NA,NA,8.039712021107656
