Variable,Mean,SD,IQR,Min,Max,Skewness,Kurtosis,n,n_Missing,.group
Mass,0.8875,0.9121800087817385,1.25,0.25,3.75,1.8832314525099596,4.048522540012527,20,5,Lake=222 | Year=2012
massnorm.N.excr,182.96917130291112,112.40328229495914,140.82422466499997,35.402043756,495.818676,1.26250186752999,1.8557166224346684,20,5,Lake=222 | Year=2012
massnorm.P.excr,21.567820646631112,15.412385061472708,25.92213685633334,1.8911823126666667,57.15691676,0.7824846332511464,-0.22074514411604,20,5,Lake=222 | Year=2012
massnorm.NP.excr,28.325442603819198,19.978701046269908,32.14005248618218,2.3071449138974147,73.17075569062546,0.8021927864936919,-0.19290832117467951,20,5,Lake=222 | Year=2012
massnorm.Tag.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=222 | Year=2012
massnorm.NAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=222 | Year=2012
massnorm.PAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=222 | Year=2012
Mass,0.25,0,0,0.25,0.25,NA,NA,20,5,Lake=239 | Year=2012
massnorm.N.excr,301.1041862362667,211.0379928810548,389.61795159999997,16.78417782,665.6791248,0.1832363998644464,-1.1993619542894145,15,10,Lake=239 | Year=2012
massnorm.P.excr,95.2620073263158,41.17840437995856,26.721628519999996,45.62362308,206.76902448,1.849334814712511,3.1686383245043963,19,6,Lake=239 | Year=2012
massnorm.NP.excr,8.697894078725954,7.164834642270011,9.643962271438522,0.46157179621668043,25.096228308072874,0.9784983827167275,0.6429470220175153,15,10,Lake=239 | Year=2012
massnorm.Tag.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2012
massnorm.NAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2012
massnorm.PAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2012
Mass,0.961975,0.35503148396341294,0.42374999999999996,0.5565,2.127,1.8719996806699863,5.340631267868048,20,5,Lake=222 | Year=2014
massnorm.N.excr,544.8141898438772,505.7126403880326,571.2284384905103,144.13796270127372,1536.874276081425,2.0450628555093906,4.470159071506477,6,19,Lake=222 | Year=2014
massnorm.P.excr,17.73276697768113,9.9881719007819445,16.807769619899553,4.842831068748732,40.58562555456965,0.7466294107454544,-0.18274376562436045,19,6,Lake=222 | Year=2014
massnorm.NP.excr,66.0832275156432,43.48723359159892,78.51392300777908,26.245765029361937,130.60644046805248,0.605179450442673,-1.510951036285654,6,19,Lake=222 | Year=2014
massnorm.Tag.excr,12.45211341689134,5.274804074034045,5.432343877351537,2.0656362640586794,23.86996977817214,0.5086926260925244,0.9260995243991058,19,6,Lake=222 | Year=2014
massnorm.NAg.excr,363.8420866615509,470.3058792394029,339.40619095644456,80.99034761473695,1318.7866918359618,2.389838323845746,5.788228279384903,6,19,Lake=222 | Year=2014
massnorm.PAg.excr,15.164558773460602,9.808293579117265,13.529059764077285,5.561294804164137,44.32764556337107,1.6954624051604545,3.4718779637421333,18,7,Lake=222 | Year=2014
Mass,0.2483,0.05990373857061713,0.06706249999999997,0.17875,0.40575,1.273347975914961,1.346579874162573,20,5,Lake=239 | Year=2014
massnorm.N.excr,888.8307180672269,NA,0,888.8307180672269,888.8307180672269,NA,NA,1,24,Lake=239 | Year=2014
massnorm.P.excr,61.47373523165646,21.225002823412396,35.29381779951257,25.857519788918207,90.20228671943711,-0.17251356382718094,-1.227127558680108,19,6,Lake=239 | Year=2014
massnorm.NP.excr,22.157700492972022,NA,0,22.157700492972022,22.157700492972022,NA,NA,1,24,Lake=239 | Year=2014
massnorm.Tag.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2014
massnorm.NAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2014
massnorm.PAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2014
Mass,0.2597625,0.06021526488358247,0.09262499999999996,0.10575,0.3525,-0.8247468059557863,0.7849347137467775,20,5,Lake=222 | Year=2015
massnorm.N.excr,2501.5260974450575,2663.7051504961837,1701.6886880535114,240.6477379403794,9283.067101417666,1.7540207209902217,2.0363931550793426,18,7,Lake=222 | Year=2015
massnorm.P.excr,62.51715628954848,31.285116596038844,21.555966888067047,34.8689138576779,173.2387706855792,2.618775086751978,8.278126076298067,20,5,Lake=222 | Year=2015
massnorm.NP.excr,101.13432519375814,119.86286763096378,114.47827451023869,8.359965604652574,433.6929911135445,1.8716098028255035,2.8155035940608686,18,7,Lake=222 | Year=2015
massnorm.Tag.excr,25.65061689161645,23.29394488781957,25.940522155490065,3.2866585535420096,85.58006936170213,1.6956077993100571,2.5876193095441047,19,6,Lake=222 | Year=2015
massnorm.NAg.excr,973.3923739530546,915.834134722988,1168.4381614774945,48.86518248534071,3627.8594816052178,1.6185724348075203,3.3046768040624332,17,8,Lake=222 | Year=2015
massnorm.PAg.excr,39.38815694939509,34.28464418176944,38.45960753667791,6.44859235050904,137.4819183825388,1.6387558301199976,2.6713026405227853,19,6,Lake=222 | Year=2015
Mass,0.1692125,0.023587919940199546,0.04268749999999999,0.12425,0.2025,-0.24131879895952968,-1.0521789248109605,20,5,Lake=239 | Year=2015
massnorm.N.excr,1025.3854125558453,847.8525920403258,1625.6665261678154,205.4785751988218,2374.9887591623037,0.7326218995527854,-1.033372341920407,7,18,Lake=239 | Year=2015
massnorm.P.excr,85.4515683027741,37.68301678337499,62.91406180776984,7.806841046277666,142.6865671641791,-0.19407984439346132,-0.5855517360690554,20,5,Lake=239 | Year=2015
massnorm.NP.excr,72.24906730278894,124.77235319191361,78.40983709908171,3.7365389188610134,348.36736024300444,2.403801599517938,5.917476352104197,7,18,Lake=239 | Year=2015
massnorm.Tag.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2015
massnorm.NAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2015
massnorm.PAg.excr,NA,NA,NA,Inf,-Inf,NA,NA,0,25,Lake=239 | Year=2015
Mass,1.1278125,0.5657950119395843,1.0956250000000003,0.51,1.9,0.36899581770566164,-2.0097390313891292,8,0,Lake=222 | Year=2022
massnorm.N.excr,105.09929248855556,54.76544663952234,55.473206177897794,63.36568619661016,229.49881454545454,2.0486313242711227,4.4963890925693315,8,0,Lake=222 | Year=2022
